Regulating Agency,Water System No.,Water System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,Service Connections,Population,Last SNSV
DISTRICT 15 - METROPOLITAN,1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",C,C,D5,T5,C1,709135,4070679,9/11/2017
DISTRICT 04 - SAN FRANCISCO,110005,EAST BAY MUD,C,C,D5,T5,C1,389835,1437000,11/30/2017
DISTRICT 14 - SAN DIEGO,3710020,"SAN DIEGO, CITY OF",C,C,D5,T5,C1,280840,1405422,6/28/2018
DISTRICT 17 - SANTA CLARA,4310011,SAN JOSE WATER,C,C,D5,T5,C1,222047,1007514,6/7/2018
DISTRICT 04 - SAN FRANCISCO,3810011,SFPUC CITY DISTRIBUTION DIVISION,C,C,D5,Operator is not required,C1,170509,884363,3/13/2020
DISTRICT 20 - RIVERSIDE,3310009,EASTERN MUNICIPAL WD,C,C,D5,T5,C1,153065,598763,12/15/2015
DISTRICT 09 - SACRAMENTO,3410020,CITY OF SACRAMENTO MAIN,C,C,D4,T5,C1,142218,508172,6/23/2020
DISTRICT 11 - MERCED,1010007,CITY OF FRESNO,C,C,D4,T5,DAVCL,135693,541990,10/25/2019
DISTRICT 08 - SANTA ANA,3010092,IRVINE RANCH WATER DISTRICT,C,C,D5,T5,C1,120739,422000,5/6/2020
DISTRICT 20 - RIVERSIDE,3310001,COACHELLA VWD: COVE COMMUNITY,C,C,D5,T2,C1,105731,290000,3/23/2017
DISTRICT 07 - HOLLYWOOD,1910065,"LONG BEACH-CITY, WATER DEPT.",C,C,D5,T5,C1,88108,478561,6/25/2019
DISTRICT 04 - SAN FRANCISCO,110001,ALAMEDA COUNTY WATER DISTRICT,C,C,D5,T5,C1,84730,351000,2/14/2018
DISTRICT 10 - STOCKTON,5010010,"MODESTO, CITY OF",C,C,D4,T2,C1,69766,222335,11/20/2019
DISTRICT 20 - RIVERSIDE,3310031,"RIVERSIDE, CITY OF",C,C,D5,T4,C1,65925,312214,5/24/2017
DISTRICT 12 - VISALIA,1510003,CWS - BAKERSFIELD,C,C,D5,T5,C1,64767,259157,12/20/2018
DISTRICT 08 - SANTA ANA,3010001,CITY OF ANAHEIM,C,C,D5,T5,C1,62033,450000,7/19/2017
DISTRICT 04 - SAN FRANCISCO,710003,CONTRA COSTA WATER DISTRICT,C,C,D5,T5,C1,60334,198000,12/6/2017
DISTRICT 18 - SONOMA,2110002,MARIN MUNICIPAL WATER DISTRICT,C,C,D5,T5,C1,60202,189100,8/23/2018
DISTRICT 14 - SAN DIEGO,3710010,HELIX WATER DISTRICT,C,C,D5,T5,C1,56481,247526,4/11/2019
DISTRICT 08 - SANTA ANA,3010053,CITY OF HUNTINGTON BEACH,C,C,D5,T2,C1,55219,201000,7/31/2018
DISTRICT 08 - SANTA ANA,3010101,SANTA MARGARITA WATER DISTRICT,C,C,D5,There are no treatment plants,C1,54476,164949,8/21/2018
DISTRICT 18 - SONOMA,4910009,"SANTA ROSA, CITY OF",C,C,D5,T1,C1,52770,178488,4/21/2014
DISTRICT 08 - SANTA ANA,3010073,MOULTON NIGUEL WATER DISTRICT,C,C,D5,There are no treatment plants,C1,52672,171856,9/6/2017
DISTRICT 16 - CENTRAL,1910155,GSWC - SOUTHWEST,C,C,D5,T2,C1,51649,274161,12/2/2019
DISTRICT 16 - CENTRAL,1910070,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER",C,C,D5,T2,C1,50583,183918,10/1/2018
DISTRICT 14 - SAN DIEGO,3710034,OTAY WATER DISTRICT,C,C,D5,T1,C1,49786,225870,7/13/2020
DISTRICT 10 - STOCKTON,3910012,CITY OF STOCKTON,C,C,D5,T5,C1,48877,161327,4/29/2019
DISTRICT 13 - SAN BERNARDINO,3610018,CUCAMONGA VALLEY WATER DISTRICT,C,C,D5,T5,C1,48250,201950,3/2/2017
DISTRICT 09 - SACRAMENTO,3410029,SCWA - LAGUNA/VINEYARD,C,C,D5,T5,C1,46564,168686,8/6/2018
DISTRICT 09 - SACRAMENTO,3410001,SACRAMENTO SUBURBAN WATER DISTRICT,C,C,D4,T2,C1,46482,182173,8/30/2019
DISTRICT 12 - VISALIA,1510031,"BAKERSFIELD, CITY OF",C,C,D4,T3,C1,46412,149796,11/30/2018
DISTRICT 22 - ANGELES,1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,C,C,D5,T5,C1,46374,260500,6/23/2015
DISTRICT 13 - SAN BERNARDINO,3610041,SAN GABRIEL VALLEY WC - FONTANA,C,C,D5,T5,C1,46323,229900,9/13/2017
DISTRICT 08 - SANTA ANA,3010038,CITY OF SANTA ANA,C,C,D5,T3,C1,44960,338247,6/26/2018
DISTRICT 12 - VISALIA,5410016,CWS - VISALIA,C,C,D4,T2,C1,44864,141165,11/1/2019
DISTRICT 20 - RIVERSIDE,3310012,ELSINORE VALLEY MWD,C,C,D5,Missing treatment classification in SDWIS,C1,44836,139656,6/5/2015
DISTRICT 08 - SANTA ANA,3710014,"OCEANSIDE, CITY OF",C,C,D5,T5,C1,44071,177362,1/23/2020
DISTRICT 02 - LASSEN,3110008,CITY OF ROSEVILLE,C,C,D5,T5,C1,43822,131057,5/2/2017
DISTRICT 20 - RIVERSIDE,3310038,RANCHO CALIFORNIA WATER DISTRICT,C,C,D5,Missing treatment classification in SDWIS,C1,43663,144088,2/12/2019
DISTRICT 10 - STOCKTON,3910001,CALIFORNIA WATER SERVICE - STOCKTON,C,C,D4,T2,C1,43336,172105,4/5/2019
DISTRICT 20 - RIVERSIDE,3310037,"CORONA, CITY OF",C,C,D5,T5,C1,43180,172836,8/22/2018
DISTRICT 13 - SAN BERNARDINO,3610039,SAN BERNARDINO CITY,C,C,D5,T5,DAVCL,42915,204870,2/21/2017
DISTRICT 09 - SACRAMENTO,910001,EL DORADO ID - MAIN,C,C,D5,T5,C1,41536,127764,12/12/2019
DISTRICT 06 - SANTA BARBARA,5610007,OXNARD WATER DEPT,C,C,D4,T4,C1,40948,209877,6/20/2018
DISTRICT 07 - HOLLYWOOD,1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,C,C,D5,T4,C1,40431,171182,4/19/2018
DISTRICT 05 - MONTEREY,2710004,CAL AM WATER COMPANY - MONTEREY,C,C,D5,T3,C1,37428,95032,1/9/2019
DISTRICT 04 - SAN FRANCISCO,4810007,CITY OF VALLEJO,C,C,D5,T5,C1,36558,118470,10/5/2017
