GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06059052511,"Census Tract 525.11, Orange County, California",137650,27583
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",29842,4543
1400000US06107001400,"Census Tract 14, Tulare County, California",59408,14690
1400000US06067008113,"Census Tract 81.13, Sacramento County, California",60814,6629
1400000US06071000824,"Census Tract 8.24, San Bernardino County, California",47490,6069
1400000US06013347000,"Census Tract 3470, Contra Costa County, California",180970,32742
1400000US06037407301,"Census Tract 4073.01, Los Angeles County, California",83140,15880
1400000US06013367100,"Census Tract 3671, Contra Costa County, California",52482,15872
1400000US06095252910,"Census Tract 2529.10, Solano County, California",95145,10959
1400000US06029003400,"Census Tract 34, Kern County, California",35078,5249
1400000US06073008358,"Census Tract 83.58, San Diego County, California",94237,11988
1400000US06037651101,"Census Tract 6511.01, Los Angeles County, California",96010,8229
1400000US06087101200,"Census Tract 1012, Santa Cruz County, California",75893,24398
1400000US06037532900,"Census Tract 5329, Los Angeles County, California",37866,3147
1400000US06071000808,"Census Tract 8.08, San Bernardino County, California",70659,5911
1400000US06081602800,"Census Tract 6028, San Mateo County, California",131302,6194
1400000US06037219800,"Census Tract 2198, Los Angeles County, California",37933,6586
1400000US06037189600,"Census Tract 1896, Los Angeles County, California",70109,16014
1400000US06083003004,"Census Tract 30.04, Santa Barbara County, California",117880,5187
1400000US06037232600,"Census Tract 2326, Los Angeles County, California",35645,15054
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",40731,4827
1400000US06101050201,"Census Tract 502.01, Sutter County, California",41162,3963
1400000US06059076201,"Census Tract 762.01, Orange County, California",123786,11805
1400000US06059032057,"Census Tract 320.57, Orange County, California",170754,15903
1400000US06053013900,"Census Tract 139, Monterey County, California",52232,13564
1400000US06037530003,"Census Tract 5300.03, Los Angeles County, California",93306,17777
1400000US06029004402,"Census Tract 44.02, Kern County, California",26250,4647
1400000US06037400204,"Census Tract 4002.04, Los Angeles County, California",112014,11916
1400000US06037404402,"Census Tract 4044.02, Los Angeles County, California",57965,6420
1400000US06001435103,"Census Tract 4351.03, Alameda County, California",164914,44339
1400000US06059088902,"Census Tract 889.02, Orange County, California",63194,12615
1400000US06037530901,"Census Tract 5309.01, Los Angeles County, California",50687,3677
1400000US06085511909,"Census Tract 5119.09, Santa Clara County, California",210556,24087
1400000US06013367200,"Census Tract 3672, Contra Costa County, California",55200,9506
1400000US06001450745,"Census Tract 4507.45, Alameda County, California",181964,43039
1400000US06037910605,"Census Tract 9106.05, Los Angeles County, California",49231,7866
1400000US06037501803,"Census Tract 5018.03, Los Angeles County, California",33594,5849
1400000US06111007505,"Census Tract 75.05, Ventura County, California",83382,13025
1400000US06059075902,"Census Tract 759.02, Orange County, California",68769,9823
1400000US06065042733,"Census Tract 427.33, Riverside County, California",93779,8550
1400000US06075025702,"Census Tract 257.02, San Francisco County, California",65875,9678
1400000US06097151309,"Census Tract 1513.09, Sonoma County, California",94103,9241
1400000US06085507001,"Census Tract 5070.01, Santa Clara County, California",176146,38115
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",66850,13107
1400000US06083002808,"Census Tract 28.08, Santa Barbara County, California",85714,9364
1400000US06037910201,"Census Tract 9102.01, Los Angeles County, California",60964,14038
1400000US06037204600,"Census Tract 2046, Los Angeles County, California",31042,11275
