"","Regulating Agency","Water System No.","Water System Name","Fed Type","State Type","DS Class","Max TP Class","Fee Code","Service Connections","Last SNSV","completed","PWSID","Population","tag"
"1","DISTRICT 15 - METROPOLITAN",1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER","C","C","D5","T5","C1",709135,2017-09-11,"n",NA,4070679,NA
"2","DISTRICT 04 - SAN FRANCISCO",110005,"EAST BAY MUD","C","C","D5","T5","C1",389835,2017-11-30,"n",NA,1437000,NA
"3","DISTRICT 14 - SAN DIEGO",3710020,"SAN DIEGO, CITY OF","C","C","D5","T5","C1",280840,2018-06-28,"n",NA,1405422,NA
"4","DISTRICT 17 - SANTA CLARA",4310011,"SAN JOSE WATER","C","C","D5","T5","C1",222047,2018-06-07,"n",NA,1007514,NA
"5","DISTRICT 04 - SAN FRANCISCO",3810011,"SFPUC CITY DISTRIBUTION DIVISION","C","C","D5","Operator is not required","C1",170509,2020-03-13,"n",NA,884363,NA
"6","DISTRICT 20 - RIVERSIDE",3310009,"EASTERN MUNICIPAL WD","C","C","D5","T5","C1",153065,2015-12-15,"n",NA,598763,NA
"7","DISTRICT 09 - SACRAMENTO",3410020,"CITY OF SACRAMENTO MAIN","C","C","D4","T5","C1",142218,2020-06-23,"n",NA,508172,NA
"8","DISTRICT 11 - MERCED",1010007,"CITY OF FRESNO","C","C","D4","T5","DAVCL",135693,2019-10-25,"n",NA,541990,NA
"9","DISTRICT 08 - SANTA ANA",3010092,"IRVINE RANCH WATER DISTRICT","C","C","D5","T5","C1",120739,2020-05-06,"n",NA,422000,NA
"10","DISTRICT 20 - RIVERSIDE",3310001,"COACHELLA VWD: COVE COMMUNITY","C","C","D5","T2","C1",105731,2017-03-23,"n",NA,290000,NA
"11","DISTRICT 07 - HOLLYWOOD",1910065,"LONG BEACH-CITY, WATER DEPT.","C","C","D5","T5","C1",88108,2019-06-25,"n",NA,478561,NA
"12","DISTRICT 04 - SAN FRANCISCO",110001,"ALAMEDA COUNTY WATER DISTRICT","C","C","D5","T5","C1",84730,2018-02-14,"n",NA,351000,NA
"13","DISTRICT 10 - STOCKTON",5010010,"MODESTO, CITY OF","C","C","D4","T2","C1",69766,2019-11-20,"n",NA,222335,NA
"14","DISTRICT 20 - RIVERSIDE",3310031,"RIVERSIDE, CITY OF","C","C","D5","T4","C1",65925,2017-05-24,"n",NA,312214,NA
"15","DISTRICT 12 - VISALIA",1510003,"CWS - BAKERSFIELD","C","C","D5","T5","C1",64767,2018-12-20,"n",NA,259157,NA
"16","DISTRICT 08 - SANTA ANA",3010001,"CITY OF ANAHEIM","C","C","D5","T5","C1",62033,2017-07-19,"n",NA,450000,NA
"17","DISTRICT 04 - SAN FRANCISCO",710003,"CONTRA COSTA WATER DISTRICT","C","C","D5","T5","C1",60334,2017-12-06,"n",NA,198000,NA
"18","DISTRICT 18 - SONOMA",2110002,"MARIN MUNICIPAL WATER DISTRICT","C","C","D5","T5","C1",60202,2018-08-23,"n",NA,189100,NA
"19","DISTRICT 14 - SAN DIEGO",3710010,"HELIX WATER DISTRICT","C","C","D5","T5","C1",56481,2019-04-11,"n",NA,247526,NA
"20","DISTRICT 08 - SANTA ANA",3010053,"CITY OF HUNTINGTON BEACH","C","C","D5","T2","C1",55219,2018-07-31,"n",NA,201000,NA
"21","DISTRICT 08 - SANTA ANA",3010101,"SANTA MARGARITA WATER DISTRICT","C","C","D5","There are no treatment plants","C1",54476,2018-08-21,"n",NA,164949,NA
"22","DISTRICT 18 - SONOMA",4910009,"SANTA ROSA, CITY OF","C","C","D5","T1","C1",52770,2014-04-21,"n",NA,178488,NA
"23","DISTRICT 08 - SANTA ANA",3010073,"MOULTON NIGUEL WATER DISTRICT","C","C","D5","There are no treatment plants","C1",52672,2017-09-06,"n",NA,171856,NA
"24","DISTRICT 16 - CENTRAL",1910155,"GSWC - SOUTHWEST","C","C","D5","T2","C1",51649,2019-12-02,"n",NA,274161,NA
"25","DISTRICT 16 - CENTRAL",1910070,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER","C","C","D5","T2","C1",50583,2018-10-01,"n",NA,183918,NA
"26","DISTRICT 14 - SAN DIEGO",3710034,"OTAY WATER DISTRICT","C","C","D5","T1","C1",49786,2020-07-13,"n",NA,225870,NA
"27","DISTRICT 10 - STOCKTON",3910012,"CITY OF STOCKTON","C","C","D5","T5","C1",48877,2019-04-29,"n",NA,161327,NA
"28","DISTRICT 13 - SAN BERNARDINO",3610018,"CUCAMONGA VALLEY WATER DISTRICT","C","C","D5","T5","C1",48250,2017-03-02,"n",NA,201950,NA
"29","DISTRICT 09 - SACRAMENTO",3410029,"SCWA - LAGUNA/VINEYARD","C","C","D5","T5","C1",46564,2018-08-06,"n",NA,168686,NA
"30","DISTRICT 09 - SACRAMENTO",3410001,"SACRAMENTO SUBURBAN WATER DISTRICT","C","C","D4","T2","C1",46482,2019-08-30,"n",NA,182173,NA
"31","DISTRICT 12 - VISALIA",1510031,"BAKERSFIELD, CITY OF","C","C","D4","T3","C1",46412,2018-11-30,"n",NA,149796,NA
"32","DISTRICT 22 - ANGELES",1910039,"SAN GABRIEL VALLEY WATER CO.-EL MONTE","C","C","D5","T5","C1",46374,2015-06-23,"n",NA,260500,NA
"33","DISTRICT 13 - SAN BERNARDINO",3610041,"SAN GABRIEL VALLEY WC - FONTANA","C","C","D5","T5","C1",46323,2017-09-13,"n",NA,229900,NA
"34","DISTRICT 08 - SANTA ANA",3010038,"CITY OF SANTA ANA","C","C","D5","T3","C1",44960,2018-06-26,"n",NA,338247,NA
