PWSID,requested,responded,voluntary,tag,Service_Connections,Population,Fee_Code,Regulating_Agency,Water_System_Name,bill_freq,bill_freq_other,submetered_YN,expense_2019_Apr,expense_2019_May,expense_2019_Jun,expense_2019_Jul,expense_2019_Aug,expense_2019_Sep,expense_2019_Oct,expense_2019_Total,revenue_2019_Apr,revenue_2019_May,revenue_2019_Jun,revenue_2019_Jul,revenue_2019_Aug,revenue_2019_Sep,revenue_2019_Oct,revenue_2019_Total,expense_2020_Apr,expense_2020_May,expense_2020_Jun,expense_2020_Jul,expense_2020_Aug,expense_2020_Sep,expense_2020_Oct,expense_2020_Total,revenue_2020_Apr,revenue_2020_May,revenue_2020_Jun,revenue_2020_Jul,revenue_2020_Aug,revenue_2020_Sep,revenue_2020_Oct,revenue_2020_Total,comments_exp_rev,cash_reserve_restricted,cash_reserve_unrestricted,cash_reserve_total,months_before_assist,loans_YN,delinquent_num_acc,delinquent_amount_dollars,comments_cash_reserves,filename
CA1910067,n,NA,not.requested,NA,709135,4070679,C1,DISTRICT 15 - METROPOLITAN,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110005,n,NA,not.requested,NA,389835,1437000,C1,DISTRICT 04 - SAN FRANCISCO,EAST BAY MUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710020,n,NA,not.requested,NA,280840,1405422,C1,DISTRICT 14 - SAN DIEGO,"SAN DIEGO, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4310011,n,NA,not.requested,NA,222047,1007514,C1,DISTRICT 17 - SANTA CLARA,SAN JOSE WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3810011,n,NA,not.requested,NA,170509,884363,C1,DISTRICT 04 - SAN FRANCISCO,SFPUC CITY DISTRIBUTION DIVISION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310009,n,NA,not.requested,NA,153065,598763,C1,DISTRICT 20 - RIVERSIDE,EASTERN MUNICIPAL WD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3410020,n,NA,not.requested,NA,142218,508172,C1,DISTRICT 09 - SACRAMENTO,CITY OF SACRAMENTO MAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1010007,n,NA,not.requested,NA,135693,541990,DAVCL,DISTRICT 11 - MERCED,CITY OF FRESNO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010092,n,NA,not.requested,NA,120739,422000,C1,DISTRICT 08 - SANTA ANA,IRVINE RANCH WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310001,n,NA,not.requested,NA,105731,290000,C1,DISTRICT 20 - RIVERSIDE,COACHELLA VWD: COVE COMMUNITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910065,n,NA,not.requested,NA,88108,478561,C1,DISTRICT 07 - HOLLYWOOD,"LONG BEACH-CITY, WATER DEPT.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110001,n,NA,not.requested,NA,84730,351000,C1,DISTRICT 04 - SAN FRANCISCO,ALAMEDA COUNTY WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5010010,n,NA,not.requested,NA,69766,222335,C1,DISTRICT 10 - STOCKTON,"MODESTO, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3310031,n,NA,not.requested,NA,65925,312214,C1,DISTRICT 20 - RIVERSIDE,"RIVERSIDE, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1510003,n,NA,not.requested,NA,64767,259157,C1,DISTRICT 12 - VISALIA,CWS - BAKERSFIELD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010001,n,NA,not.requested,NA,62033,450000,C1,DISTRICT 08 - SANTA ANA,CITY OF ANAHEIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0710003,n,NA,not.requested,NA,60334,198000,C1,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2110002,n,NA,not.requested,NA,60202,189100,C1,DISTRICT 18 - SONOMA,MARIN MUNICIPAL WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710010,n,NA,not.requested,NA,56481,247526,C1,DISTRICT 14 - SAN DIEGO,HELIX WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010053,n,NA,not.requested,NA,55219,201000,C1,DISTRICT 08 - SANTA ANA,CITY OF HUNTINGTON BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010101,n,NA,not.requested,NA,54476,164949,C1,DISTRICT 08 - SANTA ANA,SANTA MARGARITA WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4910009,n,NA,not.requested,NA,52770,178488,C1,DISTRICT 18 - SONOMA,"SANTA ROSA, CITY OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3010073,n,NA,not.requested,NA,52672,171856,C1,DISTRICT 08 - SANTA ANA,MOULTON NIGUEL WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910155,n,NA,not.requested,NA,51649,274161,C1,DISTRICT 16 - CENTRAL,GSWC - SOUTHWEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1910070,n,NA,not.requested,NA,50583,183918,C1,DISTRICT 16 - CENTRAL,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3710034,n,NA,not.requested,NA,49786,225870,C1,DISTRICT 14 - SAN DIEGO,OTAY WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3910012,n,NA,not.requested,NA,48877,161327,C1,DISTRICT 10 - STOCKTON,CITY OF STOCKTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3610018,n,NA,not.requested,NA,48250,201950,C1,DISTRICT 13 - SAN BERNARDINO,CUCAMONGA VALLEY WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3410029,n,NA,not.requested,NA,46564,168686,C1,DISTRICT 09 - SACRAMENTO,SCWA - LAGUNA/VINEYARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3410001,n,NA,not.requested,NA,46482,182173,C1,DISTRICT 09 - SACRAMENTO,SACRAMENTO SUBURBAN WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
