"","Regulating.Agency","num.completed","total","proportion.completed"
"1","DISTRICT 01 - KLAMATH",24,23,1.04347826086957
"2","DISTRICT 02 - LASSEN",15,16,0.9375
"3","DISTRICT 03 - MENDOCINO",16,15,1.06666666666667
"4","DISTRICT 04 - SAN FRANCISCO",6,11,0.545454545454545
"5","DISTRICT 05 - MONTEREY",16,20,0.8
"6","DISTRICT 06 - SANTA BARBARA",28,32,0.875
"7","DISTRICT 07 - HOLLYWOOD",14,20,0.7
"8","DISTRICT 08 - SANTA ANA",7,8,0.875
"9","DISTRICT 09 - SACRAMENTO",15,14,1.07142857142857
"10","DISTRICT 10 - STOCKTON",20,20,1
"11","DISTRICT 11 - MERCED",10,22,0.454545454545455
"12","DISTRICT 12 - VISALIA",19,28,0.678571428571429
"13","DISTRICT 13 - SAN BERNARDINO",21,28,0.75
"14","DISTRICT 14 - SAN DIEGO",14,16,0.875
"15","DISTRICT 15 - METROPOLITAN",11,14,0.785714285714286
"16","DISTRICT 16 - CENTRAL",18,16,1.125
"17","DISTRICT 17 - SANTA CLARA",20,27,0.740740740740741
"18","DISTRICT 18 - SONOMA",22,24,0.916666666666667
"19","DISTRICT 19 - TEHACHAPI",18,19,0.947368421052632
"20","DISTRICT 20 - RIVERSIDE",17,19,0.894736842105263
"21","DISTRICT 21 - VALLEY",9,11,0.818181818181818
"22","DISTRICT 22 - ANGELES",6,10,0.6
"23","DISTRICT 23 - FRESNO",13,14,0.928571428571429
"24","DISTRICT 24 - TULARE",9,13,0.692307692307692
"25","LPA34 - BUTTE COUNTY",1,2,0.5
"26","LPA35 - CALAVERAS COUNTY",1,1,1
"27","LPA39 - EL DORADO COUNTY",1,1,1
"28","LPA43 - IMPERIAL COUNTY",2,3,0.666666666666667
"29","LPA44 - INYO COUNTY",3,4,0.75
"30","LPA49 - LA COUNTY",2,4,0.5
"31","LPA50 - MADERA COUNTY",2,3,0.666666666666667
"32","LPA56 - MONO COUNTY",1,2,0.5
"33","LPA57 - MONTEREY COUNTY",10,16,0.625
"34","LPA58 - NAPA COUNTY",2,3,0.666666666666667
"35","LPA61 - PLACER COUNTY",2,2,1
"36","LPA62 - PLUMAS COUNTY",1,1,1
"37","LPA63 - RIVERSIDE COUNTY",8,6,1.33333333333333
"38","LPA64 - SACRAMENTO COUNTY",2,1,2
"39","LPA66 - SAN BERNARDINO COUNTY",2,1,2
"40","LPA69 - SAN JOAQUIN COUNTY",8,6,1.33333333333333
"41","LPA70 - SAN LUIS OBISPO COUNTY",2,4,0.5
"42","LPA72 - SANTA BARBARA COUNTY",1,2,0.5
"43","LPA80 - STANISLAUS COUNTY",1,1,1
"44","LPA82 - TEHAMA COUNTY",3,3,1
"45","LPA87 - YOLO COUNTY",1,1,1
