PWSID,requested
CA1910067,y
CA0110005,y
CA3710020,y
CA4310011,y
CA3810011,y
CA3310009,y
CA3410020,y
CA1010007,y
CA3010092,y
CA3310001,y
CA1910065,y
CA0110001,y
CA5010010,y
CA3310031,y
CA1510003,y
CA0710003,y
CA2110002,y
CA3710010,y
CA3010101,y
CA3010073,y
CA3710034,y
CA3410029,y
CA3410001,y
CA1510031,y
CA1910039,y
CA3610041,y
CA3010038,y
CA5410016,y
CA3310012,y
CA3710014,y
CA3110008,y
CA3310038,y
CA3910001,y
CA3310037,y
CA3610039,y
CA5610007,y
CA1910124,y
CA3610052,y
CA1910043,y
CA0110006,y
CA3710025,y
CA1010003,y
CA0710001,y
CA1910017,y
CA4810003,y
CA3010010,y
CA1910240,y
CA1910126,y
CA0410002,y
CA5610017,y
CA3710005,y
CA3010022,y
CA3610024,y
CA3910004,y
CA1910102,y
CA1910213,y
CA4310012,y
CA1910179,y
CA2810003,y
CA3010037,y
CA3910011,y
CA4410010,y
CA3010004,y
CA3310020,y
CA3610037,y
CA1910007,y
CA4310020,y
CA4210011,y
CA3710029,y
CA4110013,y
CA0110008,y
CA3610004,y
CA3610036,y
CA4310022,y
CA3310049,y
CA3610012,y
CA3610003,y
CA3010064,y
CA3410014,y
CA2110003,y
CA5610040,y
CA4910006,y
CA1910225,y
CA4310009,y
CA1910174,y
CA3310002,y
CA3010003,y
CA3110004,y
CA5010019,y
CA0710008,y
CA5110002,y
CA4310007,y
CA1610003,y
CA5710001,y
CA5610020,y
CA1910146,y
CA3010069,y
CA5710006,y
CA5410010,y
CA1910211,y
CA3410010,y
CA4110009,y
CA4310005,y
CA1910051,y
CA1910019,y
CA5710003,y
CA3610044,y
CA3410015,y
CA4310004,y
CA4410011,y
CA1910152,y
CA3410013,y
CA4410017,y
CA0910002,y
CA3410009,y
CA1910139,y
CA3010046,y
CA3710015,y
CA5610019,y
CA3010018,y
CA1910092,y
CA1910059,y
CA1910003,y
CA5610059,y
CA1910083,y
CA1910194,y
CA2910003,y
CA3010002,y
CA3010035,y
CA3310008,y
CA3010042,y
CA5010028,y
CA4110025,y
CA3610029,y
CA3710021,y
CA3410004,y
CA4210016,y
CA3610038,y
CA4110023,y
CA3010030,y
CA1510029,y
CA5610018,y
CA4010007,y
CA3610073,y
CA3410021,y
CA3310006,y
CA4110007,y
CA3610014,y
CA1910090,y
CA1910156,y
