"","ï..PWSID","Water.System.Name","Fee.Code","Population","Service.Connections","CES.3.0.Score","Median_12month_HH_Income","Median_rent_pct_Income","tag","logService.Connections","Median_12month_HH_Income2","fee.code"
"1","CA5400542","DUCOR CSD","SC",535,162,43.66," $33,000.00 ",49.9,"Bin A",2.20951501454263,33000,4
"2","CA3900842","DOUBLE L MOBILE ESTATES","SC",320,150,23.08," $57,872.00 ",49.7,"Bin A",2.17609125905568,57872,4
"3","CA3900682","LOCKEFORD MOBILE HOME PARK WTR SYS","SC",100,44,23.08," $57,872.00 ",49.7,"Bin A",1.64345267648619,57872,4
"4","CA3910008","LOCKEFORD COMMUNITY SERV. DIST.","DAVCS",2500,837,23.08," $57,872.05 ",49.7,"Bin A",2.92272545799326,57872.05,3
"5","CA3600094","DOGWOOD BLUE JAY CYN IMP","SC",160,84,26.14," $42,144.32 ",49.59,"Bin A",1.92427928606188,42144.32,4
"6","CA4900639","REDWOOD HEIGHTS MUTUAL WATER COMPANY","SC",30,18,11.27," $56,146.00 ",49.4,"Bin A",1.25527250510331,56146,4
"7","CA4900630","AUSTIN CREEK MUTUAL (SPRINGHILL)","SC",150,63,11.27," $56,146.79 ",49.4,"Bin A",1.79934054945358,56146.79,4
"8","CA1210001","ARCATA, CITY OF","DAVCL",19077,6134,24.2," $37,627.25 ",49.22,"Bin C",3.78774377164647,37627.25,2
"9","CA4900620","AUSTIN ACRES MUTUAL WATER COMPANY","SC",67,24,11.2," $56,226.20 ",49.19,"Bin A",1.38021124171161,56226.2,4
"10","CA3310018","HOME GARDENS COUNTY WD","SC",3095,835,41.49," $39,969.58 ",49.14,"Bin A",2.9216864754836,39969.58,4
"11","CA4910028","SWEETWATER SPRINGS CWD - MONTE RIO","DAVCL",3000,1124,11.18," $56,552.23 ",49.04,"Bin B",3.05076631123304,56552.23,2
"12","CA4910027","SONOMA STATE UNIVERSITY","C1",10986,93,11.54," $73,239.17 ",48.98,"Bin A",1.96848294855394,73239.17,1
"13","CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","DAVCS",1026,394,50.48," $30,010.00 ",48.5,"Bin A",2.59549622182557,30010,3
"14","CA5400544","ALLENSWORTH CSD","SC",521,156,50.48," $30,010.00 ",48.5,"Bin A",2.19312459835446,30010,4
"15","CA5400735","RODRIGUEZ LABOR CAMP","SC",110,35,50.48," $30,010.00 ",48.5,"Bin A",1.54406804435028,30010,4
"16","CA5400964","SIERRA VISTA ASSN","SC",44,13,50.48," $30,010.00 ",48.5,"Bin A",1.11394335230684,30010,4
"17","CA5410024","RICHGROVE COMMUNITY SERVICES DISTRICT","DAVCS",1617,524,50.49," $30,032.97 ",48.48,"Bin A",2.71933128698373,30032.97,3
"18","CA3610045","LACSD - RIMFOREST","SC",820,296,26.26," $45,451.13 ",48.34,"Bin A",2.47129171105894,45451.13,4
"19","CA5410038","TERRA BELLA IRRIGATION DISTRICT - TBT","DAVCS",4957,803,45.14," $34,045.35 ",48.33,"Bin A",2.90471554527868,34045.35,3
"20","CA4900584","TIMBER COVE COUNTY WATER DISTRICT","SC",271,182,1.28," $68,889.00 ",48.3,"Bin A",2.26007138798507,68889,4
"21","CA4910007","SEA RANCH WATER COMPANY,THE (PUC)","C1",6151,1864,1.28," $68,885.14 ",48.29,"Bin B",3.27044590801796,68885.14,1
"22","CA3610093","ARROWHEAD VILLAS MUTUAL SERVICE COMPANY","SC",3578,797,26.27," $45,659.04 ",48.26,"Bin A",2.90145832139611,45659.04,4
"23","CA1000295","KINGS PARK APARTMENTS","SC",120,40,44.95," $43,559.00 ",48.2,"Bin A",1.60205999132796,43559,4
"24","CA1000430","DYCORA TRANSITIONAL LIVING","SC",125,1,40.78," $71,250.00 ",48.1,"Bin A",0,71250,4
"25","CA3310078","WEST PALM SPRINGS VILLAGE","DAVCS",471,253,20.1," $37,702.00 ",47.7,"Bin A",2.40312052117582,37702,3
"26","CA2900531","CREEKSIDE VILLAGE","SC",300,131,12.49," $61,680.00 ",47.5,"Bin A",2.11727129565576,61680,4
"27","CA2900548","SIERRA ESTATES MUTUAL WATER COMPANY","SC",100,32,12.49," $61,680.00 ",47.5,"Bin A",1.50514997831991,61680,4
"28","CA4400517","LAKEVIEW APARTMENTS","SC",33,22,23.91," $54,396.00 ",47.4,"Bin A",1.34242268082221,54396,4
"29","CA2910002","CITY OF NEVADA CITY","C1",3001,1260,14.33," $52,714.69 ",47.4,"Bin B",3.10037054511756,52714.69,1
"30","CA3301107","CARVER TRACT MUTUAL WATER COMP","SC",300,188,47.1," $40,031.00 ",47.3,"Bin A",2.27415784926368,40031,4
"31","CA3610001","ADELANTO, CITY OF","DAVCL",31765,8301,44.34," $25,505.85 ",47.19,"Bin D",3.91913041386061,25505.85,2
"32","CA3310081","PALM SPRINGS CREST","DAVCS",355,171,20.72," $37,873.27 ",47.07,"Bin A",2.23299611039215,37873.27,3
"33","CA4910022","CANON MANOR WATER SYSTEM","SC",782,237,9.28," $87,571.42 ",47.05,"Bin A",2.3747483460101,87571.42,4
"34","CA5400602","EAGLE'S NEST RESORT","SC",279,78,43.32," $36,492.00 ",46.5,"Bin A",1.89209460269048,36492,4
"35","CA5400660","LAKE SUCCESS MOBILE LODGE","SC",80,19,43.32," $36,492.00 ",46.5,"Bin A",1.27875360095283,36492,4
"36","CA3310052","LAKE HEMET-GARNER VALLEY","SC",709,307,16.25," $52,500.00 ",46.5,"Bin A",2.48713837547719,52500,4
"37","CA3310080","LAKE HEMET MWD-CAMP GROUND","SC",600,287,16.25," $52,500.00 ",46.5,"Bin A",2.45788189673399,52500,4
"38","CA3301028","BALDY MOUNTAIN RANCH","SC",144,60,16.25," $52,500.00 ",46.5,"Bin A",1.77815125038364,52500,4
"39","CA3301676","THOMAS MOUNTAIN WATER COMPANY","SC",162,57,16.25," $52,500.00 ",46.5,"Bin A",1.75587485567249,52500,4
"40","CA3301682","TRAILS END MUTUAL WATER COMPANY","SC",52,34,16.25," $52,500.00 ",46.5,"Bin A",1.53147891704226,52500,4
"41","CA3301502","PARADISE VALLEY MWC","SC",30,19,16.25," $52,500.00 ",46.5,"Bin A",1.27875360095283,52500,4
"42","CA3310004","BOX SPRINGS MUTUAL WC","DAVCS",2100,629,65.47," $38,689.66 ",46.46,"Bin A",2.79865064544527,38689.66,3
"43","CA3600071","CHAMISAL MWC","SC",63,23,53.5," $34,637.00 ",46.4,"Bin A",1.36172783601759,34637,4
"44","CA5400665","DEL ORO RIVER ISLAND SERV TERR #1","SC",1287,390,42.91," $36,614.22 ",46.34,"Bin A",2.5910646070265,36614.22,4
"45","CA1900155","WILSONA GARDENS MUTUAL","SC",74,37,35.73," $25,938.00 ",46.3,"Bin A",1.56820172406699,25938,4
"46","CA3301055","VILLAGE OF CHILD HELP","SC",264,12,33.95," $49,664.00 ",46.3,"Bin A",1.07918124604762,49664,4
"47","CA4900508","CAZADERO WATER COMPANY, INC. (PUC)","SC",250,157,10.31," $57,387.10 ",46.22,"Bin A",2.19589965240923,57387.1,4
"48","CA3301491","ALPINE VILLAGE","SC",198,60,16.18," $52,385.91 ",46.18,"Bin A",1.77815125038364,52385.91,4
"49","CA3301512","PINYON PINES COUNTY WATER DIST","SC",160,82,16.41," $52,367.43 ",46.12,"Bin A",1.91381385238372,52367.43,4
"50","CA1910072","GSWC - WILLOWBROOK","C1",11037,1441,56.36," $36,125.84 ",45.93,"Bin B",3.15866398081399,36125.84,1
"51","CA3400164","VIEIRA'S RESORT, INC","SC",150,107,31.02," $36,420.00 ",45.9,"Bin A",2.02938377768521,36420,4
"52","CA3400433","EDGEWATER MOBILE HOME PARK","SC",40,22,31.02," $36,420.00 ",45.9,"Bin A",1.34242268082221,36420,4
"53","CA3301511","PINYON CREST HOA","SC",104,90,15.86," $52,572.66 ",45.85,"Bin A",1.95424250943932,52572.66,4
"54","CA0800700","LAS PALMAS MOBILE HOME PARK","DAVCS",120,84,10.61," $30,901.00 ",45.7,"Bin A",1.92427928606188,30901,3
"55","CA0800605","WEST PARK PROPERTIES","SC",112,42,10.61," $30,901.00 ",45.7,"Bin A",1.6232492903979,30901,4
"56","CA4400608","FOREST SPRINGS","SC",385,126,8.51," $92,627.00 ",45.7,"Bin A",2.10037054511756,92627,4
"57","CA3600301","STRAWBERRY LODGE MWC","SC",640,128,27.11," $47,486.90 ",45.69,"Bin A",2.10720996964787,47486.9,4
"58","CA1900817","CLEAR SKIES MOBILE HOME PARK","SC",131,47,21.21," $48,846.00 ",45.5,"Bin A",1.67209785793572,48846,4
"59","CA0810003","BERTSCH OCEAN VIEW CSD","DAVCS",1600,629,17.18," $37,770.00 ",45.3,"Bin A",2.79865064544527,37770,3
"60","CA1910166","VALLEY WATER CO.","C1",10070,3599,8.04," $151,498.79 ",45.23,"Bin C",3.55618184665291,151498.79,1
"61","CA4400604","BRACKEN BRAE COUNTRY CLUB","SC",54,24,8.51," $93,079.39 ",45.23,"Bin A",1.38021124171161,93079.39,4
"62","CA4300997","NASA AMES RESEARCH CENTER","SC",5300,300,24.28," $86,596.84 ",45.21,"Bin A",2.47712125471966,86596.84,4
"63","CA4510016","CLEAR CREEK CSD-ANDERSON","DAVCL",8900,2357,15.46," $60,817.00 ",44.92,"Bin B",3.37235958252432,60817,2
"64","CA5610035","RIO MANOR MUTUAL WATER CO","SC",983,295,31.78," $102,358.00 ",44.8,"Bin A",2.46982201597816,102358,4
"65","CA0310011","FIRST MACE MEADOW # 1","SC",838,337,18.41," $52,188.00 ",44.8,"Bin A",2.52762990087134,52188,4
"66","CA1010339","CALIFORNIA STATE UNIVERSITY FRESNO","SC",41000,159,46.4," $21,290.82 ",44.79,"Bin A",2.20139712432045,21290.82,4
"67","CA5710009","UC - DAVIS","SC",48828,668,25.68," $26,372.07 ",44.78,"Bin A",2.82477646247555,26372.07,4
"68","CA4900587","BRAND WATER COMPANY","SC",112,34,6.09," $70,644.00 ",44.7,"Bin A",1.53147891704226,70644,4
"69","CA4900551","MELITA HEIGHTS MUTUAL WATER COMPANY","SC",64,25,6.09," $70,644.00 ",44.7,"Bin A",1.39794000867204,70644,4
"70","CA5610701","NAVAL BASE VENTURA COUNTY, PORT HUENEME","SC",3221,609,16.18," $51,357.59 ",44.47,"Bin A",2.78461729263288,51357.59,4
"71","CA5200535","LIVE OAK ACRES MWC INC.","SC",80,40,22.23," $41,596.00 ",44.4,"Bin A",1.60205999132796,41596,4
"72","CA5810700","BEALE AIR FORCE BASE","SC",7252,836,15.56," $45,289.22 ",44.27,"Bin A",2.92220627743902,45289.22,4
"73","CA2300606","LAKE VIEW MUTUAL WATER CO.","SC",90,29,9.1," $59,720.00 ",44,"Bin A",1.46239799789896,59720,4
"74","CA5410008","OROSI PUBLIC UTILITY DISTRICT","DAVCL",8770,1578,49.33," $41,173.07 ",43.94,"Bin B",3.1981069988734,41173.07,2
"75","CA3301283","GLEN EDEN SUN CLUB","SC",200,114,24.6," $115,452.00 ",43.9,"Bin A",2.05690485133647,115452,4
"76","CA3301294","GLEN IVY HOT SPRINGS","SC",1079,58,24.6," $115,452.00 ",43.9,"Bin A",1.76342799356294,115452,4
"77","CA1710010","LOWER LAKE COUNTY WATER DISTRICT","DAVCS",1902,776,19.07," $30,661.00 ",43.9,"Bin A",2.88986172125819,30661,3
"78","CA1700581","CACHE CREEK MOBILE HOME PARK","SC",150,45,19.07," $30,661.00 ",43.9,"Bin A",1.65321251377534,30661,4
"79","CA3600158","LYTLE SPRINGS WC","SC",475,95,18.61," $52,426.00 ",43.8,"Bin A",1.97772360528885,52426,4
"80","CA2010005","YOSEMITE SPRING PARK UTIL CO","C1",6224,1902,10.08," $69,055.00 ",43.8,"Bin B",3.2792105126014,69055,1
"81","CA1010023","CITY OF ORANGE COVE","C1",9780,1694,47.83," $26,148.01 ",43.72,"Bin B",3.22891340599469,26148.01,1
"82","CA3000618","LIBERTY PARK WATER ASSOCIATION","SC",69,21,40.32," $48,864.00 ",43.7,"Bin A",1.32221929473392,48864,4
"83","CA3702754","RANCHO CORRIDO RV RESORT","SC",350,120,13.04," $85,250.00 ",43.7,"Bin A",2.07918124604762,85250,4
"84","CA3700936","RANCHO ESTATES MUTUAL WATER CO.","SC",200,88,13.04," $85,250.00 ",43.7,"Bin A",1.94448267215017,85250,4
"85","CA4900588","LAWNDALE MUTUAL WATER COMPANY","SC",218,66,6.17," $72,074.82 ",43.62,"Bin A",1.81954393554187,72074.82,4
"86","CA1000378","SUNSET WEST COMMUNITY LLC","SC",350,159,65.41," $34,006.00 ",43.6,"Bin A",2.20139712432045,34006,4
"87","CA1000229","GREEN ACRES MOBILE HOME ESTATE","SC",350,113,65.41," $34,006.00 ",43.6,"Bin A",2.05307844348342,34006,4
"88","CA3700968","SAN PASQUAL ACADEMY","SC",350,42,10.5," $108,476.39 ",43.55,"Bin A",1.6232492903979,108476.39,4
"89","CA2310008","REDWOOD VALLEY COUNTY WATER DISTRICT","C1",5200,1348,9.47," $59,425.49 ",43.54,"Bin B",3.1296898921993,59425.49,1
"90","CA3610048","TERRACE WATER COMPANY","DAVCS",2000,603,52.84," $56,778.34 ",43.5,"Bin A",2.78031731214015,56778.34,3
"91","CA3610031","MUSCOY MWC NO. 1","DAVCL",7500,1402,57.11," $48,947.96 ",43.34,"Bin B",3.14674801363064,48947.96,2
"92","CA4810012","SID - QUAIL CANYON","SC",287,87,22.74," $113,542.00 ",43.2,"Bin A",1.93951925261862,113542,4
