"","PWSID","weights(ps.dsgn.larges)"
"1","CA1910067",1
"2","CA0110005",1
"3","CA3710020",1
"4","CA4310011",1
"5","CA3810011",1
"6","CA3310009",1
"7","CA3410020",1
"8","CA1010007",1
"9","CA3010092",1
"10","CA3310001",1
"11","CA1910065",1.78703703703704
"12","CA0110001",1.78703703703704
"13","CA5010010",1.78703703703704
"14","CA3310031",1.78703703703704
"15","CA1510003",1.78703703703704
"16","CA0710003",1.78703703703704
"17","CA2110002",1.78703703703704
"18","CA3710010",1.78703703703704
"19","CA3010101",1.78703703703704
"20","CA3010073",1.78703703703704
"21","CA3710034",1.78703703703704
"22","CA3410029",1.78703703703704
"23","CA3410001",1.78703703703704
"24","CA1510031",1.78703703703704
"25","CA1910039",1.78703703703704
"26","CA3010038",1.78703703703704
"27","CA5410016",1.78703703703704
"28","CA3310012",1.78703703703704
"29","CA3110008",1.78703703703704
"30","CA3310038",1.78703703703704
"31","CA3910001",1.78703703703704
"32","CA3310037",1.78703703703704
"33","CA3610039",2
"34","CA5610007",1.78703703703704
"35","CA1910124",1.78703703703704
"36","CA3610052",1.78703703703704
"37","CA1910043",1.78703703703704
"38","CA0110006",1.78703703703704
"39","CA3710025",1.78703703703704
"40","CA1010003",1.78703703703704
"41","CA0710001",1.78703703703704
"42","CA1910017",1.78703703703704
"43","CA4810003",1.78703703703704
"44","CA3010010",1.78703703703704
"45","CA1910240",1.78703703703704
"46","CA0410002",1.78703703703704
"47","CA5610017",1.78703703703704
"48","CA3710005",1.78703703703704
"49","CA3610024",1.78703703703704
"50","CA3910004",1.78703703703704
"51","CA1910102",1.78703703703704
"52","CA1910213",1.78703703703704
"53","CA2810003",1.78703703703704
"54","CA3910011",1.78703703703704
"55","CA4410010",1.78703703703704
"56","CA3010004",1.78703703703704
"57","CA3310020",1.78703703703704
"58","CA4210011",2
"59","CA3710029",1.78703703703704
"60","CA4110013",1.78703703703704
"61","CA0110008",1.78703703703704
"62","CA3610004",1.78703703703704
"63","CA3710002",1.78703703703704
"64","CA3610036",1.78703703703704
"65","CA4310022",1.78703703703704
"66","CA3310049",1.78703703703704
"67","CA3610012",1.78703703703704
"68","CA3610003",1.78703703703704
"69","CA3010064",1.78703703703704
"70","CA3410014",1.78703703703704
"71","CA2110003",1.78703703703704
"72","CA4910006",1.78703703703704
"73","CA1910225",1.78703703703704
"74","CA1910174",1.78703703703704
"75","CA4310009",1.78703703703704
"76","CA3310002",1.78703703703704
"77","CA3110004",1.78703703703704
"78","CA3010003",1.78703703703704
"79","CA5010019",1.78703703703704
"80","CA0710008",1.78703703703704
"81","CA5110002",1.78703703703704
"82","CA4310007",1.78703703703704
"83","CA1610003",1.78703703703704
"84","CA5710001",1.78703703703704
"85","CA5610020",1.78703703703704
"86","CA1910146",1.78703703703704
"87","CA5710006",1.78703703703704
"88","CA5410010",1.78703703703704
"89","CA1910211",1.78703703703704
"90","CA1910051",2
"91","CA1910019",1.78703703703704
"92","CA5710003",1.78703703703704
"93","CA3610044",2
"94","CA4310004",1.78703703703704
"95","CA4410011",2
"96","CA1910152",2
"97","CA4410017",1.78703703703704
"98","CA0910002",2
"99","CA3010046",1.78703703703704
"100","CA3710015",1.78703703703704
"101","CA5610019",1.78703703703704
"102","CA1910092",1.78703703703704
"103","CA1910059",1.78703703703704
"104","CA1910003",1.78703703703704
"105","CA1910083",1.78703703703704
"106","CA1910194",1.78703703703704
"107","CA2910003",1.78703703703704
"108","CA3310008",2
"109","CA3010002",1.78703703703704
"110","CA1510017",1.78703703703704
"111","CA3410008",1.78703703703704
"112","CA3010042",1.78703703703704
"113","CA4110025",1.78703703703704
"114","CA3610029",1.78703703703704
"115","CA5010028",2
"116","CA3410004",1.78703703703704
"117","CA3710021",1.78703703703704
"118","CA3610038",1.78703703703704
"119","CA4110023",1.78703703703704
"120","CA3010030",1.78703703703704
"121","CA1510029",1.78703703703704
"122","CA5610018",1.78703703703704
"123","CA4010007",1.78703703703704
"124","CA3610073",1.78703703703704
"125","CA3410021",1.78703703703704
"126","CA3310006",2
"127","CA3610014",1.78703703703704
"128","CA1910090",1.78703703703704
