"","PWSID","weights(ps.dsgn)"
"1","CA0710006",1.47340217693353
"2","CA1510005",1.4028059685242
"3","CA4210006",1.47340217693353
"4","CA4810001",1.47340217693353
"5","CA0110011",1.47340217693353
"6","CA3010079",1.47340217693353
"7","CA3710019",1.47340217693353
"8","CA4910014",1.47340217693353
"9","CA1910042",1.47340217693353
"10","CA3310016",1.4028059685242
"11","CA3710008",1.47340217693353
"12","CA3710026",1.47340217693353
"13","CA1910062",1.47340217693353
"14","CA5610063",1.47340217693353
"15","CA4110001",1.47340217693353
"16","CA4110003",1.47340217693353
"17","CA3010017",1.47340217693353
"18","CA1910127",1.47340217693353
"19","CA4810005",1.47340217693353
"20","CA1310002",1.47340217693353
"21","CA2410001",1.4028059685242
"22","CA3310007",1.47340217693353
"23","CA2710017",1.47340217693353
"24","CA3710016",1.47340217693353
"25","CA4110021",1.47340217693353
"26","CA1910028",1.47340217693353
"27","CA5010014",1.47340217693353
"28","CA1510022",1.47340217693353
"29","CA1210009",1.4028059685242
"30","CA1910204",1.47340217693353
"31","CA1910105",1.4028059685242
"32","CA3310025",1.47340217693353
"33","CA3410011",1.47340217693353
"34","CA3910015",1.47340217693353
"35","CA3610049",1.4028059685242
"36","CA1610005",1.47340217693353
"37","CA3510001",1.47340217693353
"38","CA3710013",1.47340217693353
"39","CA4910013",1.47340217693353
"40","CA1910021",1.47340217693353
"41","CA1910013",1.4028059685242
"42","CA3610120",1.47340217693353
"43","CA5010018",1.47340217693353
"44","CA0410006",1.4028059685242
"45","CA1910245",1.47340217693353
"46","CA4010001",1.47340217693353
"47","CA3310044",1.47340217693353
"48","CA5010017",1.47340217693353
"49","CA4110011",1.47340217693353
"50","CA3710023",1.47340217693353
"51","CA4110018",1.47340217693353
"52","CA4510014",1.6943637798566
"53","CA3410704",1.6943637798566
"54","CA1010027",1.6943637798566
"55","CA1910157",1.6943637798566
"56","CA1010029",1.6943637798566
"57","CA3610008",1.61318047471657
"58","CA1210001",1.61318047471657
"59","CA5410002",1.61318047471657
"60","CA2910004",1.6943637798566
"61","CA3910027",1.6943637798566
"62","CA5610009",1.6943637798566
"63","CA1310006",1.6943637798566
"64","CA1910130",1.6943637798566
"65","CA3410016",1.6943637798566
"66","CA3310074",1.6943637798566
"67","CA1910049",1.61318047471657
"68","CA4010011",1.6943637798566
"69","CA3510003",1.6943637798566
"70","CA1910125",1.6943637798566
"71","CA3010041",1.6943637798566
"72","CA1910191",1.6943637798566
"73","CA4010004",1.6943637798566
"74","CA1910143",1.6943637798566
"75","CA4810004",1.6943637798566
"76","CA1510018",1.6943637798566
"77","CA0710002",1.6943637798566
"78","CA3610015",1.61318047471657
"79","CA3910007",1.6943637798566
"80","CA2910006",1.6943637798566
"81","CA4910005",1.6943637798566
"82","CA5210004",1.61318047471657
"83","CA3610025",1.61318047471657
"84","CA2310003",1.61318047471657
"85","CA1510019",1.61318047471657
"86","CA1910040",1.6943637798566
"87","CA4210007",1.6943637798566
"88","CA4310018",1.6943637798566
"89","CA1910161",1.6943637798566
"90","CA1910063",1.6943637798566
"91","CA1510032",1.6943637798566
"92","CA4010026",1.6943637798566
"93","CA1910073",1.6943637798566
"94","CA1210006",1.61318047471657
"95","CA3010094",1.6943637798566
"96","CA4110016",1.6943637798566
"97","CA1910101",1.6943637798566
"98","CA4910012",1.6943637798566
"99","CA4110017",1.6943637798566
"100","CA1910091",1.6943637798566
"101","CA1510001",1.61318047471657
"102","CA4010014",1.6943637798566
"103","CA2010001",1.61318047471657
