"","PWSID","cash_reserve_total.imputed","delinquent_num_acc.imputed","delinquent_amount_dollars.imputed","revenue_2020_Total.imputed","revenue_2019_Total.imputed","requested","responded","voluntary","tag","Service_Connections","Population","Fee_Code","Regulating_Agency","Water_System_Name","bill_freq","bill_freq_other","submetered_YN","expense_2019_Apr","expense_2019_May","expense_2019_Jun","expense_2019_Jul","expense_2019_Aug","expense_2019_Sep","expense_2019_Oct","expense_2019_Total","revenue_2019_Apr","revenue_2019_May","revenue_2019_Jun","revenue_2019_Jul","revenue_2019_Aug","revenue_2019_Sep","revenue_2019_Oct","revenue_2019_Total","expense_2020_Apr","expense_2020_May","expense_2020_Jun","expense_2020_Jul","expense_2020_Aug","expense_2020_Sep","expense_2020_Oct","expense_2020_Total","revenue_2020_Apr","revenue_2020_May","revenue_2020_Jun","revenue_2020_Jul","revenue_2020_Aug","revenue_2020_Sep","revenue_2020_Oct","revenue_2020_Total","comments_exp_rev","cash_reserve_restricted","cash_reserve_unrestricted","cash_reserve_total","months_before_assist","loans_YN","delinquent_num_acc","delinquent_amount_dollars","comments_cash_reserves","filename","single_multi","Zip Code","Less than $100","$100-$200","$200-$300","$300-$400","$400-$500","$500-$600","$600-$700","$700-$800","$800-$900","$900-$1000","More than $1000","Total number of delinquent residential accounts","Size","CES_3.0_Score","Median_12month_HH_income","Median_rent_pct_income","cash","cash_u","cash_u_days","cash_days","op_ratio","cash_score","ratio_score","month_score","risk_score_avg","Risk_label","Tier_Status Sep_","Tier_Status_Nov","County_Population","Jan_County_UE_%","Feb_County_UE_%","Mar_County_UE_%","Apr_County_UE_%","May_County_UE_%","Jun_County_UE_%","Jul_County_UE_%","Aug_County_UE_%","Sep_County_UE_%","Oct_County_UE_%","months_before_assist_num","fee_code_char","response","delinquent_num_acc_normalized","volunteered","loans_1.0","submetered_1.0","N","samples","respondedTotal","prob","base.weight","fpc","final.weight"
"1","CA0710006",5316053,742,170669,9210670.36,8286367.78,"y","y","n","Bin D",9944,35375,"C1","DISTRICT 04 - SAN FRANCISCO","CITY OF MARTINEZ","BM",NA,"N",569113.31,739344.09,5429707.49,408904.64,704979.4,1276634.11,865923.97,9994607.01,922653.06,968494.14,1101872.8,1345323.62,1226013.97,1501691.05,1220319.14,8286367.78,742335.2,960903.44,3280827.9,790092.8,938975.14,818493.16,670848.7,8202476.34,1021292.7,1128102.53,1247928.79,1559259.12,1320178.92,1666757.14,1267151.16,9210670.36,NA,0,5316053,5316053,"F","N",742,170669,NA,"S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT04-SANFRANCISCO\Complete\Survey_DISTRICT04-CA0710006-CITYOFMARTINEZ - Completed 11.23.2020.xlsx","single","94523","1",NA,1,3,NA,NA,NA,NA,NA,NA,NA,5,"Small/Medium",17.57,100001.8,27.52,5316053,5316053,138.694132703832,138.694132703832,1.12291337130513,2,3,0,1.66666666666667,"medium",1,1,1160099,0.00597018013117846,0.00591759841185968,0.00681234963567764,0.070207801230757,0.0671899553400184,0.0658521384812848,0.0686139717386189,0.0681347022969591,0.0649349753771014,0.0589492793287469,6,"C1",1,0.0746178600160901,0,0,0,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"2","CA1510005",3000000,2237,364832,5619156,5966416,"y","y","n","Bin D",9890,53936,"DAVCL","DISTRICT 12 - VISALIA","DELANO, CITY OF","M",NA,NA,708074,631144,1741748,350328,784523,493979,541624,5251420,689148,844342,848319,893198,980587,870152,840670,5966416,671100,791191,2153941,370235,597305,512885,828787,5925444,655038,747853,807954,925472,921524,853310,708005,5619156,"Revenue and expenditures reflect Water Department only",1500000,1500000,3000000,"B","N",2237,364832,"Delinquent accounts for the City reflect typical numbers. The City did not report a spike in delinquent accounts since March 2020. In addition to no water shutoffs, the City has waived all late fees on water bills resulting in a total loss of $331,485 additional revenue dollars.","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT12-VISALIA\Complete\Survey_DISTRICT12-CA1510005-DELANO-CITYOF_Completed_SD.xlsx","single","93215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,"Small/Medium",43.58,42441.56,32.86,3000000,1500000,54.1731556318818,108.346311263763,0.94830969628605,4,4,4,4,"high",1,1,927251,0.0219886524792101,0.0235847683097673,0.0243418448726397,0.0665515593943819,0.0697588894484881,0.0710066637835926,0.0770783746795636,0.0735227031300047,0.0687526894012517,0.0632072653467076,2,"DAVCL",1,0.22618806875632,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.26167590402451
"3","CA4210006",10700000,197,123000,6240000,6270000,"y","y","n","Bin D",9818,40759,"C1","DISTRICT 06 - SANTA BARBARA","LOMPOC-CITY WATER UTILITY DIV","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6240000,"The City's financial data is geared for fiscal reporting, not for backwards-looking information, as in 2019 & 2020, and operating expenses are governed by fixed costs.",0,NA,10700000,"F","N",NA,123000,"The City is within a single zip code.  The billing system is antiquated, and cannot differeniate between residential and non-residential accounts.  However, the trend for delinquent accounts has seen a roughly 15% increase in delinquencies between 10/31/2019 and 10/31/2020, with an absolute value increase of approximately $123,000.00 in accounts greater than 90 days delinquent.  The City's ability to treat and distribut water to cutomers has continued unabated throughout this period.  The City does not anticipate any short-term or medium-term issues with the utility as a concern.  Any long-term issues can and would be analyzed during a future rate review.","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT06-SANTABARBARA\Complete\Survey_DISTRICT06-CA4210006-LOMPOC-CITYWATERUTILITYDIV_Complete.xlsx","single","93436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Small/Medium",22.2,49648.61,32.94,10700000,10700000,NA,NA,NA,NA,NA,0,0,"very low",1,1,456373,0.0119419860508838,0.0116067339654186,0.0113898061454118,0.0652667883507569,0.0607200688910168,0.0540435126530272,0.0549944891568958,0.0528011078657151,0.0495800584171281,0.0455657981519503,6,"C1",1,NA,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"4","CA4810001",10400000,1633,714106,8202882.82,1956500,"y","y","n","Bin D",9814,28000,"C1","DISTRICT 04 - SAN FRANCISCO","CITY OF BENICIA","BM","We bill customers once every two months.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349589.54,549835.55,2263048.44,559035.28,466618.32,306336.04,362871.41,4857334.58,1447234.39,125786.1,1896072.17,1112852.37,1304045.09,1157941.73,1158950.97,8202882.82,"We have mobile home parks and apartments that are and are not submetered. Answer for Cell C19 is ""yes"" and ""no""",5600000,4800000,10400000,"E","N",1633,714106,"Reserve amounts (restricted and unrestricted) current as of June 30, 2020 (last audit). We have not needed to access our reserve funds to sustain operations or projects.","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT04-SANFRANCISCO\Complete\Survey_DISTRICT04-CA4810001-CITYOFBENICIA-complete.xlsx","single","94510","217",335,444,277,143,86,55,27,11,7,31,1633,"Small/Medium",15.45,104831,34.56,10400000,4800000,211.474005564591,458.19367872328,1.68876215646648,1,1,1,1,"low",1,1,444255,0.00906011187268573,0.00881475729029499,0.00944727690177938,0.0709682502166548,0.0684269169733599,0.0658630741353502,0.0702839585373265,0.0705833361470327,0.0679654702817076,0.0624776310902522,5,"C1",1,0.166394945995517,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"5","CA0110011",392000,120,723695.81,11399908,10216245,"y","y","n","Bin D",9698,30000,"C1","DISTRICT 04 - SAN FRANCISCO","CITY OF LIVERMORE","M",NA,NA,807184,336625,3537965,224015,1211018,249031,1278775,7644613,923419,1359555,2198207,709647,1830953,1688110,1506354,10216245,878464,997073,3971130,233836,1384177,316740,2534447,10315867,1167705,1305391,2821816,768351,1774418,1681303,1880924,11399908,"Rates increased July 2019, January 2020. Oct 2019 YTD only included 2 monthly Zone 7 invoices, Oct 2020 YTD included 3. This accounts for about $1 million of the difference between the two years.",0,NA,NA,NA,NA,NA,NA,NA,"S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT04-SANFRANCISCO\Complete\Survey_DISTRICT04-CA0110011-CITYOFLIVERMORE- Partial - MP.xlsx","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Small/Medium",16.96,114738.98,31.43,NA,NA,NA,NA,1.10508481739829,NA,3,NA,3,"medium high",1,1,1685886,0.005844404663186,0.0058491499425228,0.00686463972059795,0.0711097903416957,0.069230659724323,0.0688368015393686,0.0718423428393142,0.0710368316718924,0.067788687965853,0.0614673827293186,NA,"C1",1,NA,0,NA,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"6","CA3010079",2901301.2,114,30723,8874963.69,8699173.42,"y","y","n","Bin D",9583,49054,"C1","DISTRICT 08 - SANTA ANA","EL TORO WATER DISTRICT","M",NA,NA,1182447.09,1234285.63,1419013.73,1031952.57,1254064.23,1263004.07,1139216.22,8523983.54,1056364.63,1140934.79,1124585.52,1314031.82,1424068.32,1243406.7,1395781.64,8699173.42,1178230.99,1038772.86,1594839.62,1259307.58,1180900.46,1205716.28,1144302,8602069.79,945016.25,1053430.11,1360987.94,1410273.67,1421602.21,1293957.47,1389696.04,8874963.69,NA,909218,1992083.2,2901301.2,"F","N",114,30723,NA,"S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT08-SANTAANA\Complete\Survey_DISTRICT08-CA3010079-ELTOROWATERDISTRICT.xlsx","single","92630","11",8,5,6,5,4,2,4,1,0,0,46,"Small/Medium",17.79,85331.51,38.69,2901301.2,1992083.2,49.558515009444,72.1777981296755,1.03172421366742,4,3,0,2.33333333333333,"medium",2,1,3228519,0.00503636497105949,0.00508127720481125,0.00589031689142917,0.0728705638715461,0.07687642538266,0.0738354025483511,0.0769640816733617,0.0739521743561057,0.0688352771038361,0.0614705999871768,6,"C1",1,0.01189606595012,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"7","CA3710019",0,63,60000,13501148,11456028,"y","y","n","Bin D",9507,33865,"C1","DISTRICT 14 - SAN DIEGO","RAMONA MUNICIPAL WD","BM",NA,NA,1512595,1570717,2219782,1369780,1661436,1555872,1655446,11545628,1928833,1217627,1508052,1432912,1786479,1835731,1746394,11456028,1337792,2450413,3063301,1555556,1652115,1794148,1601755,13455080,2052080,1409653,1963024,1741856,2529241,1632861,2172433,13501148,"Increase in revenue from 2020 attributable to additional allocation of property taxes (400k), water rates up 6.5%, and increase in demand due to 2020 being a drier year and the fact that more people in Ramona's service area stayed home during COVID.


*Numbers presented in this spreadsheed are based on information available at the time of collection and may be subject to change. Information provided is based on unaudited figured that are rounded estimates on the condition that they are for survey purposes only.",1826000,13402000,NA,"E","N",63,60000,"Between F and E. Regarding reserves, a large portion is either encumbered (not necessarily restricted but already earmarked for projects.)","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT14-SANDIEGO\Complete\Survey_DISTRICT14-CA3710019-RAMONAMUNICIPALWD (completed 11_24_2020).xlsx","single","92065","0",0,11,7,9,4,2,5,5,1,19,63,"Small/Medium",13.11,87133.42,31.45,NA,13402000,213.155774621927,NA,1.00342383694486,1,3,1,1.66666666666667,"medium",2,1,3370418,0.00621139573785803,0.00603812346124427,0.00704215322847196,0.0736288495966969,0.0759698055256054,0.0716270207434211,0.0743441911359363,0.0718895994502759,0.0665899600583666,0.0608609970632723,5,"C1",1,0.00662669611864942,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"8","CA4910014",4970205.06,876,354836.22,6111558.83,5883671.92,"y","y","n","Bin D",9505,42067,"C1","DISTRICT 18 - SONOMA","ROHNERT PARK, CITY OF","BM",NA,NA,367381.87,350381.54,976786.41,164434.52,613829.34,437036.83,761078.29,3670928.8,1183257.67,NA,1295734.59,NA,1583248.41,NA,1821431.25,5883671.92,423917.27,448537.64,1304181.79,112396.91,552180.77,577119,643845.74,4062179.12,1225618.64,NA,1432034.63,NA,1604255.33,NA,1849650.23,6111558.83,NA,0,4970205.06,4970205.06,"F","N",876,354836.22,"Total of 906 delinquent accounts: 866 single family residental, 10 Multifamily residential, and 30 commercial accounts. Total debt for all accounts is $432,053.08.  There was much lower delinquent account debt last year compared to this year, since shut offs were allowed at that time. Most of the debt is recent (30-60 days past due) and is likely to get paid soon based on the bimonthly billing cycle. Of most concern to the system is the debt that is more than 90 day overdue, for the residential accounts this amount is $120,383.07","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT18-SONOMA\Complete\Survey_DISTRICT18-CA4910014-ROHNERTPARK-CITYOFcompleted.xlsx","single","94928","36",180,272,143,64,40,30,22,9,17,63,876,"Small/Medium",14.43,67171.23,37.43,4970205.06,4970205.06,261.835790943655,261.835790943655,1.50450254640667,1,1,0,0.666666666666667,"low",1,1,496668,0.00637447953159857,0.00617313779023412,0.00682548503225495,0.0770554978375897,0.0679931060587757,0.0620656051930062,0.0613850701071943,0.0592830623273495,0.0552099188995466,0.0503777171067997,6,"C1",1,0.0921620199894792,0,0,NA,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"9","CA1910042",19377811.97,1266,122688.49,7618998,7438814.21,"y","y","n","Bin D",9433,40702,"C1","DISTRICT 07 - HOLLYWOOD","PICO RIVERA - CITY, WATER DEPT.","BM",NA,"N",413736,408326,2693654,483308,266477,175494,564168,5005163,623573,903894,2620551,24575.21,968467,1283202,1014552,7438814.21,388805,683251,482131,481582,161108,651379,744644,3592900,917206,685465,2863491,129048,1065026,914828,1043934,7618998,NA,4330134.23,15047677.74,19377811.97,"E","N",1266,122688.49,NA,"S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT07-HOLLYWOOD\Complete\Survey_DISTRICT07-CA1910042-PICORIVERA-CITY-WATERDEPT.xlsx","single","90660","840",286,78,22,17,7,5,3,5,3,4,1270,"Small/Medium",43.54,66684.07,31.23,19377811.97,15047677.74,896.268484054663,1154.17956569345,2.12057056973476,0,0,1,0.333333333333333,"low",1,1,10257557,0.00645855538506878,0.00649355397196428,0.00760873178672076,0.0759942157767195,0.0807474918248078,0.0814576999182164,0.0872163810544753,0.0854432493039035,0.0809370106351834,0.0732341043778748,5,"C1",1,0.134209689388318,0,0,0,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.49879325068965
"10","CA3310016",13044520,902,237604.74,6691202.7,6987771.51,"y","y","n","Bin D",9325,29982,"DAVCL","DISTRICT 20 - RIVERSIDE","HEMET, CITY OF","M",NA,"N",634810,621888,1395099,531429,514149,1334238,602101,5633714,902152.48,892389.76,955804.91,1055691.63,970157.71,1061109.8,1150465.22,6987771.51,829734,660723,846535,426298,604440,608408,825792,4801930,732449.9,765221.55,983965.34,981533.48,1055316.66,1133521.3,1039194.47,6691202.7,"Expenditure categories do not include any capital improvement projects",11616520,1428000,13044520,"E","N",902,237604.74,"Question 5-> Cash available is estimated at 6/30/2020                                           Question 6 -> Although the City may not need assistance for approximately 1 year, this does not take into account any Capital Improvement projects or unforeseen large repairs.","S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT20-RIVERSIDE\Complete\Survey_DISTRICT20-CA3310016-HEMET-CITYOF.xlsx","single","92543","1",138,182,89,52,31,24,24,5,15,42,603,"Small/Medium",36.85,35219.39,38.05,13044520,1428000,63.6394116532311,581.334438444542,1.39344028338606,3,2,1,2,"medium",1,1,2468145,0.00767458962095015,0.00781963782516829,0.00854204270818773,0.0715918230087779,0.0747504704950479,0.0710408018977815,0.0765465562193469,0.075008153896955,0.0717283627987821,0.0646967661948548,5,"DAVCL",1,0.0967292225201072,0,0,0,76,69,55,0.907894736842105,1.10144927536232,0.907894736842105,1.26167590402451
