"","Water.System.No.","Unnamed","Regulating.Agency","System.Name","Fed.Type","State.Type","DS.Class","Max.TP.Class","Fee.Code","SC","Pop","Last.SNSV","tag","log.SC"
"1",1500579,2158,"DISTRICT 19 - TEHACHAPI","LIFE WATER CO-OP","C","C","D1","TD","SC",18,27,"12/6/2017","Bin A",1.25527250510331
"2",400155,1875,"LPA34 - BUTTE COUNTY","BIGGERS GLEN MUTUAL WATER CO","C","C","D1","TD","SC",29,25,"5/29/2019","Bin A",1.46239799789896
"3",1800534,1252,"DISTRICT 02 - LASSEN","SPAULDING EAGLE LAKE MWC","C","C","D1","TD","SC",82,289,"7/26/2018","Bin A",1.91381385238372
"4",4200693,1464,"LPA72 - SANTA BARBARA COUNTY","ELLWOOD MUTUAL WATER CO.","C","C","D1","T1","SC",56,186,"11/21/2019","Bin A",1.7481880270062
"5",310011,689,"DISTRICT 10 - STOCKTON","FIRST MACE MEADOW # 1","C","C","D1","There are no treatment plants","SC",337,838,"6/18/2019","Bin A",2.52762990087134
"6",2700541,2212,"LPA57 - MONTEREY COUNTY","DEL MONTE FARMS RD WS #03","C","C","D1","There are no treatment plants","SC",16,55,"10/16/2017","Bin A",1.20411998265592
"7",5500071,1143,"DISTRICT 11 - MERCED","RAWHIDE INVESTMENT COMPANY","C","C","D1","TD","SC",100,269,"12/5/2017","Bin A",2
"8",1200547,1755,"DISTRICT 01 - KLAMATH","MILL CREEK M.W.C.","C","C","D1","There are no treatment plants","SC",36,65,"5/24/2018","Bin A",1.55630250076729
"9",2701040,1998,"LPA57 - MONTEREY COUNTY","MCCOY RD WS #05","C","C","D1","There are no treatment plants","SC",24,72,"8/26/2016","Bin A",1.38021124171161
"10",2510002,744,"DISTRICT 01 - KLAMATH","CEDARVILLE COUNTY WATER DIST.","C","C","D1","There are no treatment plants","SC",290,500,"6/24/2019","Bin A",2.46239799789896
"11",707519,2153,"LPA37 - CONTRA COSTA COUNTY","DUTCH SLOUGH WATER WORKS","C","C","D1","There are no treatment plants","SC",18,49,"9/12/2018","Bin A",1.25527250510331
"12",5310002,564,"DISTRICT 01 - KLAMATH","TRINITY CO. W.W. DIST #1","C","C","D2","T3","DAVCS",580,1775,"12/10/2019","Bin A",2.76342799356294
"13",4900639,2171,"DISTRICT 18 - SONOMA","REDWOOD HEIGHTS MUTUAL WATER COMPANY","C","C","D1","TD","SC",18,30,"6/15/2020","Bin A",1.25527250510331
"14",5403113,1807,"DISTRICT 24 - TULARE","SOUTH FORK ESTATES MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",33,92,"9/20/2018","Bin A",1.51851393987789
"15",4900653,1909,"DISTRICT 18 - SONOMA","LONE PINE MUTUAL WATER COMPANY","C","C","D1","TD","SC",28,65,"10/27/2017","Bin A",1.44715803134222
"16",5400665,651,"DISTRICT 12 - VISALIA","DEL ORO RIVER ISLAND SERV TERR #1","C","C","D1","There are no treatment plants","SC",390,1287,"12/5/2018","Bin A",2.5910646070265
