Zip Code,Less than $100,$100-$200,$200-$300,$300-$400,$400-$500,$500-$600,$600-$700,$700-$800,$800-$900,$900-$1000,More than $1000,Total number of delinquent residential accounts,PWSID,Size,row sum
96025,0.0,150.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,200.0,CA4710002,Small/Medium,200.0
96067,4.0,38.0,30.0,6.0,6.0,0.0,4.0,1.0,0.0,3.0,2.0,94.0,CA4710008,Small/Medium,94.0
96097,33.0,51.0,18.0,9.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,118.0,CA4710011,Small/Medium,118.0
95536,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,CA1200518,Small/Medium,10.0
95554,1.0,2.0,5.0,2.0,0.0,5.0,1.0,6.0,3.0,0.0,2.0,27.0,CA1200538,Small/Medium,27.0
95540,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,CA1200547,Small/Medium,6.0
95542,4.0,7.0,12.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,33.0,CA1200671,Small/Medium,33.0
95540,0.0,50.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,CA1210006,Small/Medium,70.0
95562,21.0,22.0,11.0,8.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,72.0,CA1210012,Small/Medium,72.0
95589,108.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,CA1210022,Small/Medium,118.0
96101,18.0,36.0,30.0,8.0,10.0,10.0,6.0,5.0,0.0,1.0,1.0,125.0,CA2510001,Small/Medium,125.0
96104,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,CA2510002,Small/Medium,5.0
95560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,CA1200587,Small/Medium,1.0
95521,670.0,399.0,117.0,46.0,41.0,27.0,14.0,23.0,14.0,10.0,29.0,1390.0,CA1210001,Small/Medium,1390.0
,,,,,,,,,,,,99.0,CA1210017,Small/Medium,0.0
95570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CA1200706,Small/Medium,1.0
95501,64.0,22.0,16.0,12.0,5.0,7.0,9.0,4.0,2.0,2.0,9.0,152.0,CA1210009,Small/Medium,152.0
95503,285.0,263.0,89.0,36.0,30.0,32.0,19.0,21.0,9.0,9.0,31.0,824.0,CA1210009,Small/Medium,824.0
95519,30.0,14.0,5.0,4.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,65.0,CA1210020,Small/Medium,65.0
95543,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,CA0800555,Small/Medium,14.0
96093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA5301017,Small/Medium,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA5301101,Small/Medium,0.0
96091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA5301103,Small/Medium,0.0
95563,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,CA5304502,Small/Medium,3.0
96093,85.0,21.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,CA5310001,Small/Medium,114.0
96041,60.0,28.0,5.0,2.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,105.0,CA5310002,Small/Medium,105.0
,,,,,,,,,,,,88.0,CA1810001,Small/Medium,0.0
96130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,CA1800534,Small/Medium,2.0
96137,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,CA1800512,Small/Medium,18.0
96140,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,CA3110001,Small/Medium,5.0
96143,14.0,20.0,9.0,9.0,13.0,6.0,4.0,4.0,0.0,1.0,4.0,84.0,CA3110001,Small/Medium,84.0
96148,8.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,CA3110001,Small/Medium,24.0
95631,11.0,118.0,103.0,63.0,24.0,12.0,7.0,5.0,2.0,2.0,8.0,355.0,CA3110003,Small/Medium,355.0
95722,32.0,58.0,22.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,127.0,CA3110009,Small/Medium,127.0
95713,0.0,1.0,0.0,4.0,6.0,3.0,4.0,0.0,4.0,0.0,2.0,24.0,CA3110035,Small/Medium,24.0
95722,0.0,4.0,11.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,23.0,CA3110041,Small/Medium,23.0
95713,1.0,3.0,12.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,CA3110041,Small/Medium,23.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA3110048,Small/Medium,0.0
96137,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,CA3210006,Small/Medium,23.0
96088,12.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,CA4510009,Small/Medium,22.0
96003,0.0,6.0,5.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,CA4510014,Small/Medium,18.0
