DOMAINVALUE	STRATUM	ID	Y1	Y2	Y3	X1	X2	LABEL
1	10*2	SEA RANCH WATER COMPANY,THE (PUC)	1.28	68885.14	48.29	10	2	1
1	10*2	ST. HELENA, CITY OF	17.55	83031.72	30.72	10	2	1
1	10*2	CITY OF FOWLER	55.62	50827.28	35.18	10	2	1
1	10*2	GOLDEN STATE WATER CO - APPLE VLY SOUTH	19.09	44752.07	36.3	10	2	1
1	10*2	MILLVIEW COUNTY WATER DISTRICT	22.72	53064.52	33.61	10	2	1
1	10*2	CORRECTIONAL TRAINING FACILITY - SOLEDAD	24.2	63656.6	29.09	10	2	1
1	10*2	AWA, IONE	26.13	72122.44	27.09	10	2	1
1	10*2	NEVADA ID - NORTH AUBURN	13.61	47796.85	36.36	10	2	1
1	10*2	FOLSOM STATE PRISON	0.08	50407.54	23.69	10	2	1
1	10*2	SANTA CLARITA VALLEY W.A.-CASTAIC DIV.	14.94	109428.21	29.82	10	2	1
1	10*2	SANTA ANA RIVER WATER COMPANY	36.56	58545.18	39.66	10	2	1
1	10*2	GOLDEN STATE WATER COMPANY - LOS OSOS	9.17	70258.08	32.89	10	2	1
1	10*2	CITY OF INDUSTRY WATERWORKS SYSTEMS	45.46	71710.58	27.28	10	2	1
1	10*2	NAS NORTH ISLAND & NAB CORONADO	0.54	149434.79	27.53	10	2	1
1	10*2	SUBURBAN WATER SYSTEMS-GLENDORA	23.96	82202.35	32.84	10	2	1
1	10*2	PURISSIMA HILLS WATER DISTRICT	4.27	156917	29.9	10	2	1
1	10*2	SAN JOAQUIN COUNTY - LINCOLN VILLAGE	39.3	58302.85	30.55	10	2	1
1	10*2	LOS ANGELES CWWD 37-ACTON	15.32	107878.69	34.99	10	2	1
1	10*2	NUEVO WATER COMPANY	38.88	59230.12	34.39	10	2	1
1	10*2	CITY OF GUSTINE	52.13	51968	25.9	10	2	1
1	10*2	SOLVANG WATER DIVISION	11.28	74643.08	30.92	10	2	1
1	10*2	LAKE ALMANOR COUNTRY CLUB MWC	16.62	68688	23.9	10	2	1
1	10*2	LA HABRA HEIGHTS CWD	14.82	115651.9	24.63	10	2	1
1	10*2	YOSEMITE SPRING PARK UTIL CO	10.08	69055	43.8	10	2	1
1	10*2	CITY OF GRIDLEY	22.23	57312.25	31.57	10	2	1
1	10*2	CAL AM - MEADOWBROOK	55.16	59114.82	29.19	10	2	1
1	10*2	NEVADA ID - LAKE OF PINES	7.94	77111.4	31.6	10	2	1
1	10*2	HOLTVILLE, CITY OF	37	47038.28	30.17	10	2	1
1	10*2	BUELLTON WATER DEPARTMENT	14.53	83368.34	26.02	10	2	1
1	10*2	TAHOE CITY PUD - MAIN	4.72	70510.07	35.53	10	2	1
1	10*2	RANCHO MURIETA COMMUNITY SERVI	14.38	105738	29.9	10	2	1
1	10*2	PALM RANCH IRRIGATION DIST.	12.73	89059.87	22.87	10	2	1
1	10*2	SANTA YNEZ RIVER WATER CONS. DIST. ID#1	10.71	77869.79	30.34	10	2	1
1	10*2	HELENDALE COMMUNITY SERVICE DISTRICT	42.43	45260.35	35.22	10	2	1
1	10*2	CITY OF COLUSA	31.33	46574.08	33.3	10	2	1
1	10*2	SERRANO WATER DISTRICT	8.08	118655.48	42.79	10	2	1
1	10*2	VENTURA RIVER WATER DISTRICT	15.13	74274.11	35.48	10	2	1
1	10*3	CAMBRIA COMM SERVICES DIST	3.23	67349.33	36.08	10	3	2
1	11*2	CITY OF DOS PALOS	50.25	42289.42	33.41	11	2	3
1	11*2	FLORIN COUNTY WATER DISTRICT	44.26	41779.96	39.66	11	2	3
1	11*2	ESCALON, CITY OF	31.19	70366.91	35.99	11	2	3
1	11*2	CALIFORNIA WATER SERVICE CO.-TRAVIS AFB	16.45	74889.91	34.03	11	2	3
1	11*2	CITY OF DIXON	22.96	78740.5	29.5	11	2	3
1	11*2	PLUMAS LAKE	28.66	87017.04	25.68	11	2	3
1	11*2	VANDENBERG VILLAGE COMM. SERV. DIST.	13.01	86110.15	33.8	11	2	3
1	11*2	MYOMA DUNES MUTUAL WATER COMPANY	15.07	60092.14	31.91	11	2	3
1	11*2	CALIFORNIA-AMERICAN LARKFIELD (PUC)	19.55	81142.55	36.17	11	2	3
1	11*2	NEVADA ID - LAKE WILDWOOD	6.88	62630.08	31.14	11	2	3
1	11*2	TEMPLETON CSD	9.15	102039.63	29.78	11	2	3
1	11*2	SEBASTOPOL, CITY OF	14.54	80935.97	35.02	11	2	3
1	11*2	BEAR VALLEY CSD	21.51	79279	22.5	11	2	3
1	11*2	SOUTH MONTEBELLO IRRIGATION DIST.	45.8	49510.49	35.48	11	2	3
1	11*2	LA CANADA IRRIGATION DIST.	10.83	141566.27	31.24	11	2	3
1	11*2	GSWC - HOLLYDALE	50.88	52565.08	36.6	11	2	3
1	11*2	HIDDEN VALLEY LAKE CSD	12.32	59745	35.4	11	2	3
1	11*2	VALENCIA HEIGHTS WATER CO.	26.31	96996.01	38.41	11	2	3
1	11*2	LOS OSOS COMMUNITY SERVICES DISTRICT	6.42	70114.65	35.69	11	2	3
1	11*2	GONZALES, CITY OF	25.75	48942.93	30.03	11	2	3
1	11*2	CWSC SALINAS HILLS	8.77	144169.88	27.2	11	2	3
1	11*2	GOLDEN STATE WC - COWAN HEIGHTS	10.73	136954.96	36.96	11	2	3
1	11*2	CITY OF WATERFORD	42.47	56155.77	30.29	11	2	3
1	11*2	WESTERN HEIGHTS WATER COMPANY	30.94	73563.26	36.63	11	2	3
1	11*2	CITY OF CORNING	36.78	40616.78	34.19	11	2	3
1	11*2	CHUCKAWALLA VALLEY STATE PRISON	32.49	36810	31	11	2	3
1	11*2	MAYWOOD MUTUAL WATER CO. #2	51.93	41763.65	37.45	11	2	3
1	11*2	MONTEBELLO-CITY, WATER DEPT.	49.33	53590.75	33.97	11	2	3
1	11*2	SAN GABRIEL VALLEY WATER CO.-MONTEBELLO	39.38	77039.25	29.76	11	2	3
1	11*2	AWA BUCKHORN PLANT	20.69	59752.74	33.21	11	2	3
1	11*2	CITY OF LIVE OAK	28.62	51987.37	31.29	11	2	3
1	11*2	COTATI, CITY OF	16.02	71024.82	34.41	11	2	3
1	11*2	SANTA CLARITA VALLEY W.A.-PINETREE DIV.	14.41	112795.97	32.75	11	2	3
1	11*2	CITY OF WINTERS	18.64	83044	24.3	11	2	3
1	11*3	MAMMOTH CWD	13.88	63584	25.8	11	3	4
1	11*3	PISMO BEACH WATER DEPARTMENT	8.08	80814.31	26.91	11	3	4
1	11*3	CLOVERDALE, CITY OF	21.87	60484.63	32.94	11	3	4
1	11*3	GEORGETOWN DIVIDE PUD	10.83	77960.61	30.1	11	3	4
1	11*4	LAKE ARROWHEAD CSD	20	67220.55	41.94	11	4	1
1	12*1	SONOMA STATE UNIVERSITY	11.54	73239.17	48.98	12	1	5
1	12*2	MAYWOOD MUTUAL WATER CO. #3	51.93	41762.72	37.45	12	2	6
1	12*2	RUBIO CANON LAND & WATER ASSOCIATION	16.23	106691.66	30.85	12	2	6
1	12*2	CITY OF ORANGE COVE	47.83	26148.01	43.72	12	2	6
1	12*2	CALIFORNIA INSTITUTION FOR MEN	26.01	96248.47	29.04	12	2	6
1	12*2	MENDOTA, CITY OF	54.33	27655.81	39.57	12	2	6
1	12*2	LEMOORE NAVAL AIR STATION	44.16	52094.17	31.53	12	2	6
1	12*2	SIGNAL HILL - CITY, WATER DEPT.	39.08	77711.59	33.68	12	2	6
1	12*2	EAST PASADENA WATER CO.	20.36	69804.18	37.26	12	2	6
1	12*2	DEL ORO WATER CO.-PARADISE PINES	14.69	54667.22	33.3	12	2	6
1	12*2	LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM	21.73	46155.07	41.06	12	2	6
1	12*2	CALIFORNIA WATER SERVICE CO. - DIXON	23.08	78571.56	29.57	12	2	6
1	12*2	SOUTH MESA WC	19.81	61544.1	31.6	12	2	6
1	12*2	GOLDEN HILLS CSD	17.26	59573.26	27.32	12	2	6
1	12*2	GSWC - WILLOWBROOK	56.36	36125.84	45.93	12	2	6
1	12*2	OJAI WATER SYSTEM	10.52	75164.72	37.56	12	2	6
1	12*2	SCWA - ARDEN PARK VISTA	16.86	114665.86	30.93	12	2	6
1	12*2	LA PUENTE VALLEY CWD	46.64	65173.04	32.48	12	2	6
1	12*2	CASITAS MUNICIPAL WATER DIST	22.92	68706.41	33.95	12	2	6
1	12*3	HEALDSBURG, CITY OF	16.33	85906.42	27.55	12	3	5
1	12*3	OAK PARK WATER SERVICE	5.51	130015.18	32.4	12	3	5
1	12*3	BLYTHE - CITY OF	32.6	43189.96	28.17	12	3	5
1	12*3	MONTECITO WATER DIST	5.79	134292.42	30.14	12	3	5
1	12*3	SONOMA, CITY OF	10.77	77140.11	37.17	12	3	5
1	12*3	MORRO BAY PW DEPT - WATER DIVISION	11.37	69327.81	35.3	12	3	5
1	12*3	SANTA CLARITA VALLEY W.A.-NEWHALL DIV.	28.22	70154.88	37.01	12	3	5
1	12*3	CCWD - EBBETTS PASS	10.33	59178.92	36.04	12	3	5
1	12*3	SIERRA MADRE-CITY, WATER DEPT.	10.41	96161.29	28.48	12	3	5
1	12*3	CITY OF NEWMAN-WATER DEPARTMENT	39.32	61599.55	28.3	12	3	5
1	12*3	EXETER, CITY OF	26.14	47162.72	31.86	12	3	5
1	12*3	CITY OF RIO VISTA	38.65	66339.31	30.23	12	3	5
1	12*3	SCOTTS VALLEY WATER DISTRICT	7.54	111365.16	36.24	12	3	5
1	12*3	TOWN OF HILLSBOROUGH	7.23	192664.93	23.06	12	3	5
1	12*3	SBNDO COUNTY SERVICE AREA 70J	26.95	81145.65	24.09	12	3	5
1	12*3	CCWD - JENNY LIND	21.68	74888.46	30.81	12	3	5
1	12*3	TUD - UPPER BASIN WATER SYSTEM	14.3	70552.5	26.66	12	3	5
1	12*3	KINGSBURG, CITY OF	38.73	63655.55	26.45	12	3	5
1	12*3	VALLEY WATER CO.	8.04	151498.79	45.23	12	3	5
1	13*2	WESTERN MWD - MURRIETA DIVISION	25.41	82109.73	34.24	13	2	6
1	13*2	CWSC KING CITY	26.12	37394.05	37.75	13	2	6
