STRATO	N	M1	M2	M3	S1	S2	S3	COST	CENS	DOM1	X1	X2	LABEL	STRATUM
10*2	37	21.3508108108108	75414.7251351351	31.9813513513513	15.3066693427934	27216.8418534919	5.5401376517986	1	0	1	10	2	1	10*2
10*3	1	3.23	67349.33	36.08	0	0	0	1	0	1	10	3	2	10*3
11*2	34	25.6761764705882	73706.5555882353	32.7897058823529	14.0355776960899	27695.9126412909	3.90847682479574	1	0	1	11	2	3	11*2
11*3	4	13.665	70710.8875	28.9375	5.16230810781379	8803.50058832387	2.79848508125378	1	0	1	11	3	4	11*3
11*4	1	20	67220.55	41.94	0	0	0	1	0	1	11	4	1	11*4
12*1	1	11.54	73239.17	48.98	0	0	0	1	0	1	12	1	5	12*1
12*2	18	30.5444444444444	64359.0938888889	34.8222222222222	15.1980927978269	24275.6291672437	5.07537142106156	1	0	1	12	2	6	12*2
12*3	19	18.9426315789474	88749.4531578947	31.3257894736842	11.7656148617398	37749.0336144666	5.30126232811282	1	0	1	12	3	5	12*3
13*2	5	27.424	70418.226	34.596	7.37729652379515	36327.7004101425	6.11119170047872	1	0	1	13	2	6	13*2
13*3	23	23.5578260869565	83257.5791304348	31.0126086956522	12.855292923293	37053.6915357891	3.59502581159181	1	0	1	13	3	7	13*3
14*2	2	26.225	44434.225	31.435	15.825	3420.225	0.264999999999999	1	0	1	14	2	1	14*2
14*3	19	24.3973684210526	79126.5710526316	31.3978947368421	9.99919883217243	22203.7747847439	4.00282476436114	1	0	1	14	3	2	14*3
14*4	7	20.8671428571429	91363.49	30.9385714285714	14.3396649834205	24765.4847631878	2.21065878074794	1	0	1	14	4	1	14*4
15*2	1	11.95	113648.4	31.71	0	0	0	1	0	1	15	2	5	15*2
15*3	14	35.8707142857143	62681.895	33.2771428571429	9.3687866757393	18994.4135415152	3.37022345289581	1	0	1	15	3	8	15*3
15*4	24	28.3829166666667	78139.5858333333	32.3525	16.3429963284905	26604.9446026952	3.21301681964681	1	0	1	15	4	3	15*4
16*2	3	27.1566666666667	59426.3366666667	33.6266666666667	14.6545927575245	14319.7719720121	2.80709022932209	1	0	1	16	2	7	16*2
16*3	2	35.615	62966.385	37.66	14.935	13215.155	0.73	1	0	1	16	3	6	16*3
16*4	19	22.9594736842105	85819.9342105263	31.5784210526316	10.106226050616	28104.5424710366	2.72526437762978	1	0	1	16	4	4	16*4
17*3	1	45.86	49406.29	34.46	0	0	0	1	0	1	17	3	8	17*3
17*4	9	30.0222222222222	61814.49	35.7288888888889	12.5043075047297	17642.9845615896	3.19981056538055	1	0	1	17	4	3	17*4
18*4	3	46.2733333333333	55701.63	34.48	20.6449175881674	20663.095964066	6.31214701983406	1	0	1	18	4	9	18*4
3*2	1	13.03	58375	26.6	0	0	0	1	0	1	3	2	10	3*2
4*2	2	15.515	75196	26.05	0.085	1122	5.15	1	0	1	4	2	1	4*2
5*2	3	16.23	66341.09	33.6766666666667	7.73325718353312	7716.49624368901	1.91646085851557	1	0	1	5	2	4	5*2
6*1	4	34.4775	60717.2775	30.5325	9.08173820091727	22081.0671500727	2.47571580558028	1	0	1	6	1	9	6*1
6*2	1	38.1	53266	27.9	0	0	0	1	0	1	6	2	1	6*2
7*2	7	25.5471428571429	61902.4214285714	33.9671428571429	9.73418382268784	25478.6130578724	6.15675636838034	1	0	1	7	2	4	7*2
8*1	1	18.17	72188	34.2	0	0	0	1	0	1	8	1	4	8*1
8*2	20	19.35	80697.683	30.7335	12.4220336499303	35980.6431501003	5.78591071051049	1	0	1	8	2	10	8*2
9*1	2	38.985	52586.48	33.1	25.805	4786.31	2.89	1	0	1	9	1	3	9*1
9*2	31	22.5403225806452	72409.0422580645	30.2593548387097	11.8664804369475	22871.0375002524	4.96639931584363	1	0	1	9	2	1	9*2
9*3	1	10.46	50475.71	42.92	0	0	0	1	0	1	9	3	5	9*3
10*2	12	33.8191666666667	54199.1458333333	34.6925	17.6209938512433	14394.0847208164	4.64921341913518	1	0	2	10	2	1	10*2
11*2	15	34.2253333333333	45027.802	34.6533333333333	12.6277302614348	9653.83185032776	5.59320142871882	1	0	2	11	2	2	11*2
11*3	3	27.5266666666667	48721.0133333333	30.88	8.78534132644954	10041.4807000971	2.19241115365404	1	0	2	11	3	2	11*3
12*2	6	30.8816666666667	45066.9333333333	30.37	9.46751536688598	11775.5725429646	2.29431180676617	1	0	2	12	2	2	12*2
12*3	9	26.2611111111111	44483.9477777778	34.3744444444444	10.8514048700765	7267.93137339608	3.39403434511239	1	0	2	12	3	2	12*3
13*2	5	50.026	40383.866	36.332	11.9453398444749	6113.02533655014	3.67365431144521	1	0	2	13	2	3	13*2
13*3	7	33.2885714285714	41577.1885714286	34.3528571428571	11.8354183082227	4912.35777112152	3.89231739377425	1	0	2	13	3	2	13*3
14*2	1	52.05	39946.37	40.44	0	0	0	1	0	2	14	2	3	14*2
14*3	5	32.494	43494.248	36.678	8.43695821964291	5290.11676089441	6.53861575564737	1	0	2	14	3	2	14*3
14*4	1	16.02	42114.36	27.58	0	0	0	1	0	2	14	4	4	14*4
15*3	3	46.3133333333333	40749.5	36.3333333333333	6.09481929364786	4317.51262349824	3.05258724509045	1	0	2	15	3	3	15*3
15*4	2	17.87	49414.57	32	5.01	2401.88	0.210000000000001	1	0	2	15	4	4	15*4
16*4	5	34.47	40650.092	36.452	9.67902474426014	9261.89315684088	6.05596036975144	1	0	2	16	4	2	16*4
17*4	1	42.85	53557.27	35.05	0	0	0	1	0	2	17	4	3	17*4
18*4	3	50.2866666666667	50027.28	34.8566666666667	5.39487616993095	5471.19421097442	1.94868046522655	1	0	2	18	4	3	18*4
6*2	2	18.665	43750	35.25	5.695	9412	6.45	1	0	2	6	2	4	6*2
7*2	13	19.1215384615385	47258.8092307692	34.8830769230769	6.74378898993944	9287.96294148048	5.46578924502271	1	0	2	7	2	4	7*2
8*2	10	17.592	48062.379	33.312	6.68062691668978	6284.3202027816	2.61491797194482	1	0	2	8	2	4	8*2
8*3	1	20.15	54650	29.8	0	0	0	1	0	2	8	3	4	8*3
9*1	1	16.44	48076.43	37.73	0	0	0	1	0	2	9	1	4	9*1
9*2	18	29.625	50665.3644444445	32.9444444444444	13.3231895789092	12431.7080991638	4.22201008238996	1	0	2	9	2	2	9*2
1*1	53	25.8169811320755	53288.3805660377	33.2305660377358	13.0305828342267	15622.5757336024	4.39810611689285	1	0	3	1	1	1	1*1
10*1	1	79.63	39727.63	32.26	0	0	0	1	0	3	10	1	2	10*1
11*1	2	45.785	38122.09	31.835	5.875	6456.05	0.894999999999998	1	0	3	11	1	3	11*1
2*1	36	23.1755555555556	48267.0208333333	31.7763888888889	13.5382159592032	7830.46494620189	5.55552735409509	1	0	3	2	1	4	2*1
3*1	36	25.1838888888889	52025.3102777778	33.2225	12.8582898633479	16508.8893424434	7.23254272753058	1	0	3	3	1	1	3*1
4*1	28	27.1825	48432.6060714286	30.7325	11.663641193592	11356.4226996543	4.2888431881869	1	0	3	4	1	1	4*1
5*1	19	23.0452631578947	47001.5321052632	31.6673684210526	14.3655759473531	10629.3106610758	6.3851726614789	1	0	3	5	1	4	5*1
6*1	28	28.5564285714286	45894.6485714286	33.0217857142857	17.2393356713	11115.1453531251	7.99842308278479	1	0	3	6	1	3	6*1
6*2	1	20.01	53958	35.9	0	0	0	1	0	3	6	2	4	6*2
7*1	16	27.84	54468.9375	32.835625	14.1423168186829	11721.6497458077	8.18511604128952	1	0	3	7	1	5	7*1
8*1	3	23.5833333333333	65070.5366666667	30.92	14.6792922929623	9203.97138504292	2.05114602113062	1	0	3	8	1	1	8*1
9*1	1	45.14	34045.35	48.33	0	0	0	1	0	3	9	1	3	9*1
9*2	1	16.82	48272	28.3	0	0	0	1	0	3	9	2	4	9*2
1*1	780	23.2442084942085	70720.0667948718	30.9720256410256	13.240493150376	29839.6266949158	6.65887572318169	1	0	4	1	1	1	1*1
10*1	2	28.11	66037.4	28.085	6.11	10775.4	1.485	1	0	4	10	1	2	10*1
11*1	4	28.95	44353.4225	37.92	13.025555650336	6734.44200478546	4.4360399006321	1	0	4	11	1	2	11*1
12*1	1	36.84	106519	42.2	0	0	0	1	0	4	12	1	2	12*1
14*1	1	7.17	125201.32	19.98	0	0	0	1	0	4	14	1	3	14*1
14*2	1	24.16	75027	28.2	0	0	0	1	0	4	14	2	1	14*2
16*1	1	45.2	68384	31.2	0	0	0	1	0	4	16	1	4	16*1
17*1	2	36.04	23831.445	44.785	10.36	2540.625	0.00499999999999901	1	0	4	17	1	5	17*1
2*1	357	23.9771954674221	68220.1099159664	31.5352661064426	13.7299243835994	25192.9540831198	6.71996342271122	1	0	4	2	1	5	2*1
3*1	181	24.8448333333333	70186.0934254144	32.0761878453039	15.302938224588	30261.5515104325	6.63930980138352	1	0	4	3	1	4	3*1
4*1	93	23.7377173913043	65379.3786021505	31.5106451612903	14.489275276927	27006.5239202754	7.06725780745971	1	0	4	4	1	5	4*1
5*1	64	24.56125	71453.72625	31.27984375	15.4987382046894	25819.2853332921	6.09925443501793	1	0	4	5	1	6	5*1
6*1	59	23.3920338983051	72737.2344067797	30.8879661016949	13.4697715279733	25912.3136417894	5.62552499385418	1	0	4	6	1	3	6*1
7*1	29	23.4989285714286	73347.8344827586	31.158275862069	17.0843970877535	29998.6233333811	5.68103018156919	1	0	4	7	1	4	7*1
7*2	1	14.07	84400.52	30.48	0	0	0	1	0	4	7	2	3	7*2
8*1	16	26.835625	65274.734375	30.98125	13.3698831187627	19262.2571198286	10.2572985448168	1	0	4	8	1	2	8*1
9*1	4	31.03	59099.2925	32.04	12.2180876845219	20804.9086302504	7.95848917822975	1	0	4	9	1	2	9*1
