STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	21.9306172839506	74497.7354320988	31.1448148148148	13.4069460267821	24974.696937208	5.12854976446249	81	1	1	0	28.9273999713447
2	23.339	78537.709	31.632	10.5483795028305	21220.1617582436	3.93212991841455	20	1	1	0	5.61966286892993
3	27.5702898550725	73085.164057971	33.03	14.750757628675	26020.0709591726	3.63230641817864	69	1	1	0	27.1117741778788
4	21.6641176470588	76998.5447058823	32.0217647058824	9.54970401786901	25471.9702787929	3.73063170111292	34	1	1	0	8.64894925415266
5	17.9027272727273	87436.495	32.6727272727273	10.9619062362032	35635.3327286113	6.43919833411021	22	1	1	0	6.42396675007279
6	30.326	65459.5036	35.004	13.3661672087531	25003.0595347326	4.91269799982972	25	1	1	0	8.90105365742574
7	23.9730769230769	80507.8203846154	31.3142307692308	12.5569075517048	35149.5589369653	3.49849785607952	26	1	1	0	8.69662143151793
8	36.5366666666667	61796.8546666667	33.356	9.07082344500881	17990.2435363558	3.15135054516367	15	1	1	0	3.62436972126171
9	39.5328571428571	58567.7142857143	32.2242857142857	13.8274455438911	18360.5689864595	4.2221728102715	7	1	1	0	2.57830634516235
10	19.0490476190476	79634.6980952381	30.5366666666667	11.8921179597733	34552.9961829913	5.57345196921752	21	1	1	0	6.65231833945324
1	33.8191666666667	54199.1458333333	34.6925	16.8708171787881	13781.2869030509	4.45128295722455	12	2	1	0	7.03746483683288
2	31.1572058823529	45824.6438235294	33.8698529411764	11.3948857525808	9861.46727423344	4.66421315791593	68	2	1	0	26.9350484174666
3	48.8330769230769	43673.3315384615	36.2092307692308	7.75546865028386	6557.88329460516	2.8429036059208	13	2	1	0	3.50469534381896
4	18.3393333333334	47538.608	33.8736666666667	5.86347847762128	7313.8549837184	4.32038442963764	30	2	1	0	6.114704339838
1	25.8898333333333	52070.9993333333	32.5875	12.5170451589496	14954.9913394071	5.38738732471976	120	3	1	0	46.9959089306255
2	79.63	39727.63	32.26	0	0	0	1	3	1	0	1
3	30.2029032258065	45010.9577419355	33.4390322580645	16.8899639214668	10797.9357581536	7.95122484814096	31	3	1	0	16.3820182017395
4	22.9650877192983	47945.1203508772	31.7514035087719	13.3625442483007	8621.32755560898	5.68683208705173	57	3	1	0	23.8309305179135
5	27.84	54468.9375	32.835625	13.693239378887	11349.4385638974	7.92520452867237	16	3	1	0	6.85493232248301
1	23.2453810825642	70725.5814340589	30.9684763124199	13.2235695781997	29801.793233108	6.65108290364693	781	4	1	0	87.0354439004617
2	28.2351851851852	62844.4596296296	32.367037037037	11.8855363385187	19778.7317350993	8.85540338191881	27	4	1	0	2.70445001147673
3	22.9732786885246	73788.5027868853	30.7024590163934	13.3444734058505	26166.2657715345	5.6576508472766	61	4	1	0	6.86005638963081
4	24.756321146468	70612.1047867299	31.9458767772512	15.5148824504433	30030.7593393938	6.47992604772966	211	4	1	0	27.5884534074444
5	23.9812975647367	67439.2131415929	31.5888274336283	13.8599129281608	25653.8509654455	6.81959861342841	452	4	1	0	52.7953103100796
6	24.56125	71453.72625	31.27984375	15.3771775968389	25616.7780079906	6.05141640673695	64	4	1	0	8.2937896092894
