STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	21.9306172839506	74497.7354320988	31.1448148148148	13.4069460267821	24974.696937208	5.12854976446249	81	1	1	0	28.9273999713447
2	23.339	78537.709	31.632	10.5483795028305	21220.1617582436	3.93212991841455	20	1	1	0	5.61966286892993
3	27.5702898550725	73085.164057971	33.03	14.750757628675	26020.0709591726	3.63230641817864	69	1	1	0	27.1117741778788
4	21.6641176470588	76998.5447058823	32.0217647058824	9.54970401786901	25471.9702787929	3.73063170111292	34	1	1	0	8.64894925415266
5	17.9027272727273	87436.495	32.6727272727273	10.9619062362032	35635.3327286113	6.43919833411021	22	1	1	0	6.42396675007279
6	30.326	65459.5036	35.004	13.3661672087531	25003.0595347326	4.91269799982972	25	1	1	0	8.90105365742574
7	23.9730769230769	80507.8203846154	31.3142307692308	12.5569075517048	35149.5589369653	3.49849785607952	26	1	1	0	8.69662143151793
8	36.5366666666667	61796.8546666667	33.356	9.07082344500881	17990.2435363558	3.15135054516367	15	1	1	0	3.62436972126171
9	39.5328571428571	58567.7142857143	32.2242857142857	13.8274455438911	18360.5689864595	4.2221728102715	7	1	1	0	2.57830634516235
10	19.0490476190476	79634.6980952381	30.5366666666667	11.8921179597733	34552.9961829913	5.57345196921752	21	1	1	0	6.65231833945324
