DOM1	AGGR_STRATUM	X1	X2
1	1	4	2
1	1	6	2
1	1	9	2
1	1	10	2
1	1	11	4
1	1	14	2
1	1	14	4
1	2	10	3
1	2	14	3
1	3	9	1
1	3	11	2
1	3	15	4
1	3	17	4
1	4	5	2
1	4	7	2
1	4	8	1
1	4	11	3
1	4	16	4
1	5	9	3
1	5	12	1
1	5	12	3
1	5	15	2
1	6	12	2
1	6	13	2
1	6	16	3
1	7	13	3
1	7	16	2
1	8	15	3
1	8	17	3
1	9	6	1
1	9	18	4
1	10	3	2
1	10	8	2
2	1	10	2
2	2	9	2
2	2	11	2
2	2	11	3
2	2	12	2
2	2	12	3
2	2	13	3
2	2	14	3
2	2	16	4
2	3	13	2
2	3	14	2
2	3	15	3
2	3	17	4
2	3	18	4
2	4	6	2
2	4	7	2
2	4	8	2
2	4	8	3
2	4	9	1
2	4	14	4
2	4	15	4
3	1	1	1
3	1	3	1
3	1	4	1
3	1	8	1
3	2	10	1
3	3	6	1
3	3	9	1
3	3	11	1
3	4	2	1
3	4	5	1
3	4	6	2
3	4	9	2
3	5	7	1
4	1	1	1
4	1	14	2
4	2	8	1
4	2	9	1
4	2	10	1
4	2	11	1
4	2	12	1
4	3	6	1
4	3	7	2
4	3	14	1
4	4	3	1
4	4	7	1
4	4	16	1
4	5	2	1
4	5	4	1
4	5	17	1
4	6	5	1
