STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	76.5836575875486	78.9688715953308	97.887159533074	41.3618677042802	65.9880944779294	70.5904204964896	85.0474962767182	35.4271393626189	257	1	1	0	6.39694436412432
2	238.015151515151	245.606060606061	304.621212121212	113.651515151515	132.014891604412	132.192429981452	160.282310638548	65.0922456035313	66	1	1	0	3.28655361641675
3	167.822222222222	175.8	202.444444444445	85.4444444444444	116.322928323316	131.024396773716	154.181784635235	74.1064121160916	45	1	1	0	2
4	273.285714285714	292	383.571428571429	169.714285714286	377.206778944431	382.492436900018	543.771153558739	223.122583663244	14	1	1	0	2
5	365.310344827586	385.379310344828	489.413793103448	189	188.728281984204	186.69745184589	258.668979770806	122.023371224532	29	1	1	0	2.0644712873999
6	1887.45454545454	2190.63636363636	2617.36363636364	1118.36363636364	805.459430634796	1003.99515527168	1060.38159183091	506.97441719261	11	1	1	0	3.34202903488217
7	8048.16666666667	13732	13424.1666666667	6712.83333333334	10925.0288070643	20760.7638159636	19549.0327389305	9714.92765980196	6	1	1	0	6
8	1691.88	2015.72	2307.12	1025.6	845.364795872173	1111.25675997944	1254.70120670222	669.380807164353	25	1	1	0	7.97183001594992
9	3617.57142857143	4696.28571428572	4915.78571428572	2234.28571428571	2303.40160743541	2891.70838101418	3065.8215074576	1412.57607384491	14	1	1	0	12.1638642285308
10	8430.33333333333	15070.6666666667	12241.3333333333	7240.66666666667	11217.8063611187	20600.1870757417	16392.1687060892	9729.55964516837	3	1	1	0	3
11	227.583333333333	240.770833333333	298.75	138.9375	156.517475239471	180.672383980276	205.03243494908	85.3903556106184	48	1	1	0	2.83385701571453
12	491.366666666667	541.2	676.366666666667	295.266666666667	188.67012095831	185.494250825628	270.346807663357	129.598208535405	30	1	1	0	2.13500179902389
13	641	776.478260869565	888.913043478261	358.217391304348	269.854219350165	368.076562200775	323.12385504545	116.397335906962	23	1	1	0	2.34115900977183
14	1170.38888888889	1310.22222222222	1453.33333333333	627.666666666667	410.299299819167	458.158200546924	440.29798937134	235.370482195387	18	1	1	0	2.78578210091275
